"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Trinkgeld-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,92"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"2,12"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,35"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"4,12"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"4,18"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,03"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"2,38"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"4,14"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,58"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,14"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,21"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"2,61"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,35"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,10"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,27"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,05"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,20"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,20"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,03"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,25"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,38"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,31"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,05"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,29"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,19"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,56"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,96"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,65"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"2,27"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"CASH";"3,30"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"2,64"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,88"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,90"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,90"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,15"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,90"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,22"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,24"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"9,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"2,33"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"2,33"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,53"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,63"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,59"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,20"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"2,20"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,51"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"1,25"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"3,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"2,63"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,37"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"2,02"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"2,20"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"5,28"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,33"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"2,52"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,30"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,05"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,80"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,79"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"2,07"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,17"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"4,70"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,50"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"3,79"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,61"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"2,17"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"1,91"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,48"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"2,56"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"4,30"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,05"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,98"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"2,75"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,85"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"2,02"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,61"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,36"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,55"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,10"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"0,20"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,12"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"2,73"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,10"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,12"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"0,02"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,20"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,38"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,38"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"3,85"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"0,60"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"2,75"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,77"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,48"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,75"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,61"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,04"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,24"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"1,68"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"1,40"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"1,53"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"3,59"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"CASH";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"1,08"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"1,42"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"1,80"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"CASH";"1,60"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"1,20"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"CASH";"1,30"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"CASH";"1,50"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"1,53"
