"Geschäft";"Geschäfts ID";"Datum";"Währung";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"Betrag MwSt";"Gesamtrabatt";"Gesamt Stornos";"Gesamtrückerstattung (inkl. Steuer)";"Gesamtrückerstattung (ohne Steuer)";"Gesamt Zahlungen";"Gesamtausgaben";"Gesamtbetrag Kundenkonten";"Gesamtbetrag Trinkgeld"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"1505,70";"1348,32";"157,38";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"66,12"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"1027,20";"931,27";"95,93";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"54,97"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"1335,20";"1223,29";"111,91";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"55,71"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"1567,68";"1408,32";"159,36";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"45,60"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"947,65";"866,86";"80,79";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"29,53"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"1155,46";"1051,02";"104,44";"5,14";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"30,01"
"Suedseite - Bakery and Roastery";"55978";"2025-05-08";"EUR";"963,30";"873,03";"90,27";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"25,41"
"Suedseite - Bakery and Roastery";"55978";"2025-05-09";"EUR";"1241,19";"1121,09";"120,10";"0,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"30,89"
"Suedseite - Bakery and Roastery";"55978";"2025-05-10";"EUR";"1320,02";"1191,81";"128,21";"3,58";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"49,59"
"Suedseite - Bakery and Roastery";"55978";"2025-05-11";"EUR";"1465,92";"1314,17";"151,75";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"44,01"
"Suedseite - Bakery and Roastery";"55978";"2025-05-13";"EUR";"1197,70";"1095,49";"102,21";"1,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"18,71"
"Suedseite - Bakery and Roastery";"55978";"2025-05-14";"EUR";"787,90";"716,16";"71,74";"0,74";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"17,69"
"Suedseite - Bakery and Roastery";"55978";"2025-05-15";"EUR";"863,45";"792,88";"70,57";"13,25";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"33,94"
"Suedseite - Bakery and Roastery";"55978";"2025-05-16";"EUR";"1131,00";"1030,70";"100,30";"2,40";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"25,07"
"Suedseite - Bakery and Roastery";"55978";"2025-05-17";"EUR";"1439,52";"1306,31";"133,21";"1,98";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"33,54"
"Suedseite - Bakery and Roastery";"55978";"2025-05-18";"EUR";"1436,00";"1292,58";"143,42";"4,55";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"44,34"
"Suedseite - Bakery and Roastery";"55978";"2025-05-20";"EUR";"876,27";"789,18";"87,09";"5,13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"26,56"
"Suedseite - Bakery and Roastery";"55978";"2025-05-21";"EUR";"754,88";"684,06";"70,82";"3,52";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"23,30"
"Suedseite - Bakery and Roastery";"55978";"2025-05-22";"EUR";"1055,92";"960,97";"94,95";"2,28";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"36,01"
"Suedseite - Bakery and Roastery";"55978";"2025-05-23";"EUR";"820,74";"740,89";"79,85";"4,46";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"26,15"
"Suedseite - Bakery and Roastery";"55978";"2025-05-24";"EUR";"1502,20";"1361,14";"141,06";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"64,96"
"Suedseite - Bakery and Roastery";"55978";"2025-05-25";"EUR";"1554,87";"1405,77";"149,10";"11,23";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"51,07"
"Suedseite - Bakery and Roastery";"55978";"2025-05-27";"EUR";"1077,00";"978,73";"98,27";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"19,61"
"Suedseite - Bakery and Roastery";"55978";"2025-05-28";"EUR";"1019,99";"932,39";"87,60";"6,68";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"21,56"
"Suedseite - Bakery and Roastery";"55978";"2025-05-29";"EUR";"1313,88";"1181,80";"132,08";"5,70";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"35,43"
"Suedseite - Bakery and Roastery";"55978";"2025-05-30";"EUR";"1242,00";"1135,11";"106,89";"3,06";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"38,91"
"Suedseite - Bakery and Roastery";"55978";"2025-05-31";"EUR";"1309,22";"1183,70";"125,52";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"44,18"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"1505,70";"1348,32";"157,38";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"66,12"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"1027,20";"931,27";"95,93";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"54,97"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"1335,20";"1223,29";"111,91";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"55,71"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"1567,68";"1408,32";"159,36";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"45,60"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"947,65";"866,86";"80,79";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"29,53"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"1155,46";"1051,02";"104,44";"5,14";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"30,01"
"Suedseite - Bakery and Roastery";"55978";"2025-05-08";"EUR";"963,30";"873,03";"90,27";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"25,41"
"Suedseite - Bakery and Roastery";"55978";"2025-05-09";"EUR";"1241,19";"1121,09";"120,10";"0,50";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"30,89"
"Suedseite - Bakery and Roastery";"55978";"2025-05-10";"EUR";"1320,02";"1191,81";"128,21";"3,58";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"49,59"
"Suedseite - Bakery and Roastery";"55978";"2025-05-11";"EUR";"1465,92";"1314,17";"151,75";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"44,01"
"Suedseite - Bakery and Roastery";"55978";"2025-05-13";"EUR";"1197,70";"1095,49";"102,21";"1,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"18,71"
"Suedseite - Bakery and Roastery";"55978";"2025-05-14";"EUR";"787,90";"716,16";"71,74";"0,74";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"17,69"
"Suedseite - Bakery and Roastery";"55978";"2025-05-15";"EUR";"863,45";"792,88";"70,57";"13,25";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"33,94"
"Suedseite - Bakery and Roastery";"55978";"2025-05-16";"EUR";"1131,00";"1030,70";"100,30";"2,40";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"25,07"
"Suedseite - Bakery and Roastery";"55978";"2025-05-17";"EUR";"1439,52";"1306,31";"133,21";"1,98";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"33,54"
"Suedseite - Bakery and Roastery";"55978";"2025-05-18";"EUR";"1436,00";"1292,58";"143,42";"4,55";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"44,34"
"Suedseite - Bakery and Roastery";"55978";"2025-05-20";"EUR";"876,27";"789,18";"87,09";"5,13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"26,56"
"Suedseite - Bakery and Roastery";"55978";"2025-05-21";"EUR";"754,88";"684,06";"70,82";"3,52";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"23,30"
"Suedseite - Bakery and Roastery";"55978";"2025-05-22";"EUR";"1055,92";"960,97";"94,95";"2,28";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"36,01"
"Suedseite - Bakery and Roastery";"55978";"2025-05-23";"EUR";"820,74";"740,89";"79,85";"4,46";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"26,15"
"Suedseite - Bakery and Roastery";"55978";"2025-05-24";"EUR";"1502,20";"1361,14";"141,06";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"64,96"
"Suedseite - Bakery and Roastery";"55978";"2025-05-25";"EUR";"1554,87";"1405,77";"149,10";"11,23";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"51,07"
"Suedseite - Bakery and Roastery";"55978";"2025-05-27";"EUR";"1077,00";"978,73";"98,27";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"19,61"
"Suedseite - Bakery and Roastery";"55978";"2025-05-28";"EUR";"1019,99";"932,39";"87,60";"6,68";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"21,56"
"Suedseite - Bakery and Roastery";"55978";"2025-05-29";"EUR";"1313,88";"1181,80";"132,08";"5,70";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"35,43"
"Suedseite - Bakery and Roastery";"55978";"2025-05-30";"EUR";"1242,00";"1135,11";"106,89";"3,06";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"38,91"
"Suedseite - Bakery and Roastery";"55978";"2025-05-31";"EUR";"1309,22";"1183,70";"125,52";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"44,18"
