"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Betrag";"Rückerstatteter Betrag";"Nettosumme"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"CASH";"362,00";"0,00";"362,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01";"EUR";"SUMUP";"1209,82";"0,00";"1209,82"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"CASH";"267,60";"0,00";"267,60"
"Suedseite - Bakery and Roastery";"55978";"2025-05-02";"EUR";"SUMUP";"814,57";"0,00";"814,57"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"CASH";"420,30";"0,00";"420,30"
"Suedseite - Bakery and Roastery";"55978";"2025-05-03";"EUR";"SUMUP";"970,61";"0,00";"970,61"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"CASH";"539,70";"0,00";"539,70"
"Suedseite - Bakery and Roastery";"55978";"2025-05-04";"EUR";"SUMUP";"1073,58";"-9,40";"1064,18"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"CASH";"475,95";"0,00";"475,95"
"Suedseite - Bakery and Roastery";"55978";"2025-05-06";"EUR";"SUMUP";"501,23";"0,00";"501,23"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"CASH";"545,18";"0,00";"545,18"
"Suedseite - Bakery and Roastery";"55978";"2025-05-07";"EUR";"SUMUP";"640,29";"0,00";"640,29"
"Suedseite - Bakery and Roastery";"55978";"2025-05-08";"EUR";"CASH";"427,00";"0,00";"427,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-08";"EUR";"CREDIT_NOTE";"4,00";"0,00";"4,00"
"Suedseite - Bakery and Roastery";"55978";"2025-05-08";"EUR";"SUMUP";"557,71";"0,00";"557,71"
"Suedseite - Bakery and Roastery";"55978";"2025-05-09";"EUR";"CASH";"461,89";"0,00";"461,89"
"Suedseite - Bakery and Roastery";"55978";"2025-05-09";"EUR";"SUMUP";"810,19";"0,00";"810,19"
"Suedseite - Bakery and Roastery";"55978";"2025-05-10";"EUR";"CASH";"491,12";"0,00";"491,12"
"Suedseite - Bakery and Roastery";"55978";"2025-05-10";"EUR";"SUMUP";"878,49";"0,00";"878,49"
"Suedseite - Bakery and Roastery";"55978";"2025-05-11";"EUR";"CASH";"493,20";"0,00";"493,20"
"Suedseite - Bakery and Roastery";"55978";"2025-05-11";"EUR";"SUMUP";"1016,73";"0,00";"1016,73"
"Suedseite - Bakery and Roastery";"55978";"2025-05-13";"EUR";"CASH";"742,40";"0,00";"742,40"
"Suedseite - Bakery and Roastery";"55978";"2025-05-13";"EUR";"SUMUP";"474,01";"0,00";"474,01"
"Suedseite - Bakery and Roastery";"55978";"2025-05-14";"EUR";"CASH";"343,96";"0,00";"343,96"
"Suedseite - Bakery and Roastery";"55978";"2025-05-14";"EUR";"SUMUP";"461,63";"0,00";"461,63"
"Suedseite - Bakery and Roastery";"55978";"2025-05-15";"EUR";"CASH";"336,60";"0,00";"336,60"
"Suedseite - Bakery and Roastery";"55978";"2025-05-15";"EUR";"SUMUP";"560,79";"0,00";"560,79"
"Suedseite - Bakery and Roastery";"55978";"2025-05-16";"EUR";"CASH";"460,10";"-7,80";"452,30"
"Suedseite - Bakery and Roastery";"55978";"2025-05-16";"EUR";"SUMUP";"695,97";"0,00";"695,97"
"Suedseite - Bakery and Roastery";"55978";"2025-05-17";"EUR";"CASH";"319,10";"0,00";"319,10"
"Suedseite - Bakery and Roastery";"55978";"2025-05-17";"EUR";"SUMUP";"1153,96";"0,00";"1153,96"
"Suedseite - Bakery and Roastery";"55978";"2025-05-18";"EUR";"CASH";"490,10";"-3,15";"486,95"
"Suedseite - Bakery and Roastery";"55978";"2025-05-18";"EUR";"SUMUP";"990,24";"0,00";"990,24"
"Suedseite - Bakery and Roastery";"55978";"2025-05-20";"EUR";"CASH";"375,37";"-20,30";"355,07"
"Suedseite - Bakery and Roastery";"55978";"2025-05-20";"EUR";"SUMUP";"527,46";"0,00";"527,46"
