"Geschäft";"Geschäfts ID";"Datum";"Währung";"MwSt";"Umsatz ohne Steuer";"Umsatz inkl. Steuer";"Rückerstattet (ohne Steuer)";"Rückerstattet ( inkl. Steuer)";"MwSt-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01";"EUR";"0,00";"20,00";"20,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01";"EUR";"0,07";"843,72";"903,10";"0,00";"0,00";"59,38"
"Suedseite - Bakery and Roastery";"55978";"2025-02-01";"EUR";"0,19";"441,36";"525,20";"0,00";"0,00";"83,84"
"Suedseite - Bakery and Roastery";"55978";"2025-02-02";"EUR";"0,00";"-31,70";"-31,70";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-02-02";"EUR";"0,07";"1107,40";"1185,14";"0,00";"0,00";"77,74"
"Suedseite - Bakery and Roastery";"55978";"2025-02-02";"EUR";"0,19";"571,16";"679,66";"0,00";"0,00";"108,50"
"Suedseite - Bakery and Roastery";"55978";"2025-02-03";"EUR";"0,07";"13,93";"14,90";"0,00";"0,00";"0,97"
"Suedseite - Bakery and Roastery";"55978";"2025-02-04";"EUR";"0,07";"525,39";"562,40";"0,00";"0,00";"37,01"
"Suedseite - Bakery and Roastery";"55978";"2025-02-04";"EUR";"0,19";"136,53";"162,50";"6,72";"8,00";"24,69"
"Suedseite - Bakery and Roastery";"55978";"2025-02-05";"EUR";"0,07";"590,88";"632,40";"0,00";"0,00";"41,52"
"Suedseite - Bakery and Roastery";"55978";"2025-02-05";"EUR";"0,19";"96,63";"115,00";"0,00";"0,00";"18,37"
"Suedseite - Bakery and Roastery";"55978";"2025-02-06";"EUR";"0,07";"520,02";"556,52";"11,14";"11,92";"35,72"
"Suedseite - Bakery and Roastery";"55978";"2025-02-06";"EUR";"0,19";"173,91";"207,00";"0,00";"0,00";"33,09"
"Suedseite - Bakery and Roastery";"55978";"2025-02-07";"EUR";"0,07";"655,82";"701,92";"0,00";"0,00";"46,10"
"Suedseite - Bakery and Roastery";"55978";"2025-02-07";"EUR";"0,19";"209,61";"249,40";"0,00";"0,00";"39,79"
"Suedseite - Bakery and Roastery";"55978";"2025-02-08";"EUR";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-02-08";"EUR";"0,07";"948,76";"1015,54";"0,00";"0,00";"66,78"
"Suedseite - Bakery and Roastery";"55978";"2025-02-08";"EUR";"0,19";"385,14";"458,30";"0,00";"0,00";"73,16"
"Suedseite - Bakery and Roastery";"55978";"2025-02-09";"EUR";"0,07";"1016,35";"1087,70";"0,00";"0,00";"71,35"
"Suedseite - Bakery and Roastery";"55978";"2025-02-09";"EUR";"0,19";"470,85";"560,30";"0,00";"0,00";"89,45"
"Suedseite - Bakery and Roastery";"55978";"2025-02-11";"EUR";"0,00";"-10,00";"-10,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-02-11";"EUR";"0,07";"609,44";"652,30";"0,00";"0,00";"42,86"
"Suedseite - Bakery and Roastery";"55978";"2025-02-11";"EUR";"0,19";"217,58";"258,90";"0,00";"0,00";"41,32"
"Suedseite - Bakery and Roastery";"55978";"2025-02-12";"EUR";"0,00";"30,00";"30,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-02-12";"EUR";"0,07";"493,79";"528,50";"0,00";"0,00";"34,71"
"Suedseite - Bakery and Roastery";"55978";"2025-02-12";"EUR";"0,19";"131,94";"157,00";"0,00";"0,00";"25,06"
"Suedseite - Bakery and Roastery";"55978";"2025-02-13";"EUR";"0,07";"517,76";"554,14";"0,00";"0,00";"36,38"
"Suedseite - Bakery and Roastery";"55978";"2025-02-13";"EUR";"0,19";"197,38";"234,90";"0,00";"0,00";"37,52"
"Suedseite - Bakery and Roastery";"55978";"2025-02-14";"EUR";"0,00";"-8,40";"-8,40";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-02-14";"EUR";"0,07";"694,78";"743,62";"0,00";"0,00";"48,84"
"Suedseite - Bakery and Roastery";"55978";"2025-02-14";"EUR";"0,19";"233,20";"277,50";"0,00";"0,00";"44,30"
"Suedseite - Bakery and Roastery";"55978";"2025-02-15";"EUR";"0,00";"-5,00";"-5,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-02-15";"EUR";"0,07";"1099,96";"1177,30";"0,00";"0,00";"77,34"
"Suedseite - Bakery and Roastery";"55978";"2025-02-15";"EUR";"0,19";"297,98";"354,60";"0,00";"0,00";"56,62"
"Suedseite - Bakery and Roastery";"55978";"2025-02-16";"EUR";"0,07";"872,11";"933,42";"22,79";"24,40";"59,70"
"Suedseite - Bakery and Roastery";"55978";"2025-02-16";"EUR";"0,19";"346,56";"412,40";"9,24";"11,00";"64,08"
"Suedseite - Bakery and Roastery";"55978";"2025-02-18";"EUR";"0,07";"470,77";"503,90";"0,00";"0,00";"33,13"
"Suedseite - Bakery and Roastery";"55978";"2025-02-18";"EUR";"0,19";"144,99";"172,50";"0,00";"0,00";"27,51"
"Suedseite - Bakery and Roastery";"55978";"2025-02-19";"EUR";"0,07";"674,81";"722,28";"0,00";"0,00";"47,47"
"Suedseite - Bakery and Roastery";"55978";"2025-02-19";"EUR";"0,19";"146,97";"174,90";"0,00";"0,00";"27,93"
"Suedseite - Bakery and Roastery";"55978";"2025-02-20";"EUR";"0,07";"534,64";"572,20";"0,00";"0,00";"37,56"
"Suedseite - Bakery and Roastery";"55978";"2025-02-20";"EUR";"0,19";"215,16";"256,10";"0,00";"0,00";"40,94"
