"Geschäft";"Geschäfts ID";"Datum";"Währung";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"Betrag MwSt";"Gesamtrabatt";"Gesamt Stornos";"Gesamtrückerstattung (inkl. Steuer)";"Gesamtrückerstattung (ohne Steuer)";"Gesamt Zahlungen";"Gesamtausgaben";"Gesamtbetrag Kundenkonten";"Gesamtbetrag Trinkgeld"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01";"EUR";"1303,85";"1193,39";"109,63";"4,61";"16,70";"-7,70";"-6,87";"1354,27";"0,00";"0,00";"58,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-02";"EUR";"1136,36";"1047,31";"89,05";"0,00";"0,00";"0,00";"0,00";"1192,18";"0,00";"0,00";"55,82"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-03";"EUR";"595,55";"548,62";"46,93";"8,08";"0,00";"0,00";"0,00";"624,49";"0,00";"0,00";"28,94"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-04";"EUR";"537,38";"494,68";"42,70";"0,00";"0,00";"0,00";"0,00";"556,41";"0,00";"0,00";"19,03"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-05";"EUR";"542,39";"500,50";"41,89";"0,00";"0,00";"0,00";"0,00";"554,46";"0,00";"0,00";"12,07"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-06";"EUR";"638,24";"586,27";"51,97";"1,86";"0,00";"0,00";"0,00";"663,31";"0,00";"0,00";"25,07"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-07";"EUR";"873,08";"791,46";"80,50";"0,00";"0,00";"-12,10";"-10,98";"910,33";"0,00";"0,00";"49,35"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-08";"EUR";"1480,10";"1358,85";"120,81";"23,83";"0,00";"-6,70";"-6,26";"1540,86";"0,00";"0,00";"67,46"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-09";"EUR";"1043,98";"962,04";"81,69";"4,58";"0,00";"-3,80";"-3,55";"1075,43";"0,00";"0,00";"35,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-10";"EUR";"328,80";"302,55";"26,25";"0,00";"1,00";"0,00";"0,00";"345,57";"0,00";"0,00";"16,77"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-11";"EUR";"499,20";"456,61";"42,59";"0,00";"0,00";"0,00";"0,00";"518,73";"0,00";"0,00";"19,53"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-12";"EUR";"448,26";"414,94";"33,32";"0,00";"0,00";"0,00";"0,00";"469,84";"0,00";"0,00";"21,58"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-13";"EUR";"455,33";"420,92";"34,41";"14,17";"0,00";"0,00";"0,00";"473,53";"0,00";"0,00";"18,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-14";"EUR";"675,81";"622,54";"53,27";"9,09";"0,00";"0,00";"0,00";"702,58";"0,00";"0,00";"26,77"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-15";"EUR";"1135,68";"1050,55";"85,13";"11,52";"0,00";"0,00";"0,00";"1192,07";"0,00";"0,00";"56,39"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-16";"EUR";"1085,41";"996,65";"88,76";"6,15";"4,00";"0,00";"0,00";"1156,38";"0,00";"0,00";"70,97"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-17";"EUR";"445,19";"409,71";"35,48";"1,20";"0,00";"0,00";"0,00";"468,40";"0,00";"0,00";"23,21"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-18";"EUR";"427,45";"396,66";"30,79";"2,31";"0,00";"0,00";"0,00";"446,28";"0,00";"0,00";"18,83"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-19";"EUR";"653,63";"603,13";"50,50";"3,80";"0,00";"0,00";"0,00";"679,06";"0,00";"0,00";"25,43"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-20";"EUR";"535,15";"493,42";"41,73";"7,08";"0,00";"0,00";"0,00";"556,40";"0,00";"0,00";"21,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21";"EUR";"877,78";"809,63";"67,44";"11,47";"10,20";"-10,90";"-10,19";"910,00";"0,00";"0,00";"43,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22";"EUR";"1370,52";"1264,80";"105,16";"19,61";"2,70";"-3,50";"-2,94";"1431,05";"0,00";"0,00";"64,03"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-23";"EUR";"964,28";"889,77";"74,03";"5,52";"4,00";"-7,30";"-6,82";"1001,11";"0,00";"0,00";"44,13"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-24";"EUR";"486,39";"448,27";"38,12";"9,31";"0,00";"0,00";"0,00";"519,85";"0,00";"0,00";"33,46"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-25";"EUR";"596,78";"552,00";"44,78";"1,32";"0,00";"0,00";"0,00";"613,66";"0,00";"0,00";"16,88"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-26";"EUR";"367,22";"337,74";"29,48";"4,53";"0,00";"0,00";"0,00";"378,08";"0,00";"0,00";"10,86"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-27";"EUR";"489,35";"454,26";"34,79";"7,86";"0,00";"-4,60";"-4,30";"507,74";"0,00";"0,00";"22,99"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-28";"EUR";"927,87";"854,03";"73,44";"8,36";"0,00";"-6,00";"-5,60";"958,80";"0,00";"0,00";"36,93"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-29";"EUR";"1232,33";"1136,02";"96,31";"1,95";"0,00";"0,00";"0,00";"1295,91";"0,00";"0,00";"63,58"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-30";"EUR";"781,34";"717,96";"62,87";"1,20";"0,00";"-7,80";"-7,29";"809,73";"0,00";"0,00";"36,19"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-31";"EUR";"661,71";"613,89";"47,82";"8,30";"0,00";"0,00";"0,00";"687,69";"0,00";"0,00";"25,98"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01";"EUR";"1303,85";"1193,39";"109,63";"4,61";"16,70";"-7,70";"-6,87";"1354,27";"0,00";"0,00";"58,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-02";"EUR";"1136,36";"1047,31";"89,05";"0,00";"0,00";"0,00";"0,00";"1192,18";"0,00";"0,00";"55,82"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-03";"EUR";"595,55";"548,62";"46,93";"8,08";"0,00";"0,00";"0,00";"624,49";"0,00";"0,00";"28,94"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-04";"EUR";"537,38";"494,68";"42,70";"0,00";"0,00";"0,00";"0,00";"556,41";"0,00";"0,00";"19,03"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-05";"EUR";"542,39";"500,50";"41,89";"0,00";"0,00";"0,00";"0,00";"554,46";"0,00";"0,00";"12,07"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-06";"EUR";"638,24";"586,27";"51,97";"1,86";"0,00";"0,00";"0,00";"663,31";"0,00";"0,00";"25,07"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-07";"EUR";"873,08";"791,46";"80,50";"0,00";"0,00";"-12,10";"-10,98";"910,33";"0,00";"0,00";"49,35"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-08";"EUR";"1480,10";"1358,85";"120,81";"23,83";"0,00";"-6,70";"-6,26";"1540,86";"0,00";"0,00";"67,46"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-09";"EUR";"1043,98";"962,04";"81,69";"4,58";"0,00";"-3,80";"-3,55";"1075,43";"0,00";"0,00";"35,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-10";"EUR";"328,80";"302,55";"26,25";"0,00";"1,00";"0,00";"0,00";"345,57";"0,00";"0,00";"16,77"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-11";"EUR";"499,20";"456,61";"42,59";"0,00";"0,00";"0,00";"0,00";"518,73";"0,00";"0,00";"19,53"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-12";"EUR";"448,26";"414,94";"33,32";"0,00";"0,00";"0,00";"0,00";"469,84";"0,00";"0,00";"21,58"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-13";"EUR";"455,33";"420,92";"34,41";"14,17";"0,00";"0,00";"0,00";"473,53";"0,00";"0,00";"18,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-14";"EUR";"675,81";"622,54";"53,27";"9,09";"0,00";"0,00";"0,00";"702,58";"0,00";"0,00";"26,77"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-15";"EUR";"1135,68";"1050,55";"85,13";"11,52";"0,00";"0,00";"0,00";"1192,07";"0,00";"0,00";"56,39"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-16";"EUR";"1085,41";"996,65";"88,76";"6,15";"4,00";"0,00";"0,00";"1156,38";"0,00";"0,00";"70,97"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-17";"EUR";"445,19";"409,71";"35,48";"1,20";"0,00";"0,00";"0,00";"468,40";"0,00";"0,00";"23,21"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-18";"EUR";"427,45";"396,66";"30,79";"2,31";"0,00";"0,00";"0,00";"446,28";"0,00";"0,00";"18,83"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-19";"EUR";"653,63";"603,13";"50,50";"3,80";"0,00";"0,00";"0,00";"679,06";"0,00";"0,00";"25,43"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-20";"EUR";"535,15";"493,42";"41,73";"7,08";"0,00";"0,00";"0,00";"556,40";"0,00";"0,00";"21,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21";"EUR";"877,78";"809,63";"67,44";"11,47";"10,20";"-10,90";"-10,19";"910,00";"0,00";"0,00";"43,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22";"EUR";"1370,52";"1264,80";"105,16";"19,61";"2,70";"-3,50";"-2,94";"1431,05";"0,00";"0,00";"64,03"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-23";"EUR";"964,28";"889,77";"74,03";"5,52";"4,00";"-7,30";"-6,82";"1001,11";"0,00";"0,00";"44,13"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-24";"EUR";"486,39";"448,27";"38,12";"9,31";"0,00";"0,00";"0,00";"519,85";"0,00";"0,00";"33,46"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-25";"EUR";"596,78";"552,00";"44,78";"1,32";"0,00";"0,00";"0,00";"613,66";"0,00";"0,00";"16,88"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-26";"EUR";"367,22";"337,74";"29,48";"4,53";"0,00";"0,00";"0,00";"378,08";"0,00";"0,00";"10,86"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-27";"EUR";"489,35";"454,26";"34,79";"7,86";"0,00";"-4,60";"-4,30";"507,74";"0,00";"0,00";"22,99"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-28";"EUR";"927,87";"854,03";"73,44";"8,36";"0,00";"-6,00";"-5,60";"958,80";"0,00";"0,00";"36,93"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-29";"EUR";"1232,33";"1136,02";"96,31";"1,95";"0,00";"0,00";"0,00";"1295,91";"0,00";"0,00";"63,58"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-30";"EUR";"781,34";"717,96";"62,87";"1,20";"0,00";"-7,80";"-7,29";"809,73";"0,00";"0,00";"36,19"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-31";"EUR";"661,71";"613,89";"47,82";"8,30";"0,00";"0,00";"0,00";"687,69";"0,00";"0,00";"25,98"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01";"EUR";"1303,85";"1193,39";"109,63";"4,61";"16,70";"-7,70";"-6,87";"1354,27";"0,00";"0,00";"58,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-02";"EUR";"1136,36";"1047,31";"89,05";"0,00";"0,00";"0,00";"0,00";"1192,18";"0,00";"0,00";"55,82"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-03";"EUR";"595,55";"548,62";"46,93";"8,08";"0,00";"0,00";"0,00";"624,49";"0,00";"0,00";"28,94"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-04";"EUR";"537,38";"494,68";"42,70";"0,00";"0,00";"0,00";"0,00";"556,41";"0,00";"0,00";"19,03"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-05";"EUR";"542,39";"500,50";"41,89";"0,00";"0,00";"0,00";"0,00";"554,46";"0,00";"0,00";"12,07"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-06";"EUR";"638,24";"586,27";"51,97";"1,86";"0,00";"0,00";"0,00";"663,31";"0,00";"0,00";"25,07"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-07";"EUR";"873,08";"791,46";"80,50";"0,00";"0,00";"-12,10";"-10,98";"910,33";"0,00";"0,00";"49,35"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-08";"EUR";"1480,10";"1358,85";"120,81";"23,83";"0,00";"-6,70";"-6,26";"1540,86";"0,00";"0,00";"67,46"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-09";"EUR";"1043,98";"962,04";"81,69";"4,58";"0,00";"-3,80";"-3,55";"1075,43";"0,00";"0,00";"35,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-10";"EUR";"328,80";"302,55";"26,25";"0,00";"1,00";"0,00";"0,00";"345,57";"0,00";"0,00";"16,77"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-11";"EUR";"499,20";"456,61";"42,59";"0,00";"0,00";"0,00";"0,00";"518,73";"0,00";"0,00";"19,53"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-12";"EUR";"448,26";"414,94";"33,32";"0,00";"0,00";"0,00";"0,00";"469,84";"0,00";"0,00";"21,58"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-13";"EUR";"455,33";"420,92";"34,41";"14,17";"0,00";"0,00";"0,00";"473,53";"0,00";"0,00";"18,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-14";"EUR";"675,81";"622,54";"53,27";"9,09";"0,00";"0,00";"0,00";"702,58";"0,00";"0,00";"26,77"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-15";"EUR";"1135,68";"1050,55";"85,13";"11,52";"0,00";"0,00";"0,00";"1192,07";"0,00";"0,00";"56,39"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-16";"EUR";"1085,41";"996,65";"88,76";"6,15";"4,00";"0,00";"0,00";"1156,38";"0,00";"0,00";"70,97"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-17";"EUR";"445,19";"409,71";"35,48";"1,20";"0,00";"0,00";"0,00";"468,40";"0,00";"0,00";"23,21"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-18";"EUR";"427,45";"396,66";"30,79";"2,31";"0,00";"0,00";"0,00";"446,28";"0,00";"0,00";"18,83"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-19";"EUR";"653,63";"603,13";"50,50";"3,80";"0,00";"0,00";"0,00";"679,06";"0,00";"0,00";"25,43"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-20";"EUR";"535,15";"493,42";"41,73";"7,08";"0,00";"0,00";"0,00";"556,40";"0,00";"0,00";"21,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21";"EUR";"877,78";"809,63";"67,44";"11,47";"10,20";"-10,90";"-10,19";"910,00";"0,00";"0,00";"43,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22";"EUR";"1370,52";"1264,80";"105,16";"19,61";"2,70";"-3,50";"-2,94";"1431,05";"0,00";"0,00";"64,03"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-23";"EUR";"964,28";"889,77";"74,03";"5,52";"4,00";"-7,30";"-6,82";"1001,11";"0,00";"0,00";"44,13"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-24";"EUR";"486,39";"448,27";"38,12";"9,31";"0,00";"0,00";"0,00";"519,85";"0,00";"0,00";"33,46"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-25";"EUR";"596,78";"552,00";"44,78";"1,32";"0,00";"0,00";"0,00";"613,66";"0,00";"0,00";"16,88"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-26";"EUR";"367,22";"337,74";"29,48";"4,53";"0,00";"0,00";"0,00";"378,08";"0,00";"0,00";"10,86"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-27";"EUR";"489,35";"454,26";"34,79";"7,86";"0,00";"-4,60";"-4,30";"507,74";"0,00";"0,00";"22,99"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-28";"EUR";"927,87";"854,03";"73,44";"8,36";"0,00";"-6,00";"-5,60";"958,80";"0,00";"0,00";"36,93"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-29";"EUR";"1232,33";"1136,02";"96,31";"1,95";"0,00";"0,00";"0,00";"1295,91";"0,00";"0,00";"63,58"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-30";"EUR";"781,34";"717,96";"62,87";"1,20";"0,00";"-7,80";"-7,29";"809,73";"0,00";"0,00";"36,19"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-31";"EUR";"661,71";"613,89";"47,82";"8,30";"0,00";"0,00";"0,00";"687,69";"0,00";"0,00";"25,98"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-01";"EUR";"1303,85";"1193,39";"109,63";"4,61";"16,70";"-7,70";"-6,87";"1354,27";"0,00";"0,00";"58,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-07";"EUR";"873,08";"791,46";"80,50";"0,00";"0,00";"-12,10";"-10,98";"910,33";"0,00";"0,00";"49,35"
