"Datum geschlossen";"Geschäfts ID";"Geschäft";"Bestellnummer";"Bestellname";"Verkäufer";"Anmerkungen";"Produkt";"Artikelnummer";"Menge";"Währung";"Stückpreis inkl. MwSt"
"2025-02-11 10:24:32";"55978";"Suedseite - Bakery and Roastery";"BE485994-20B7-4003-8E6D-40E6086DCC6D";"A13";"Vendeur";"Tippfehler";"Knotten";"";"1";"EUR";"6,60"
"2025-02-11 10:24:32";"55978";"Suedseite - Bakery and Roastery";"BE485994-20B7-4003-8E6D-40E6086DCC6D";"A13";"Vendeur";"Tippfehler";"Classico";"";"1";"EUR";"7,40"
"2025-02-11 10:24:32";"55978";"Suedseite - Bakery and Roastery";"BE485994-20B7-4003-8E6D-40E6086DCC6D";"A13";"Vendeur";"Tippfehler";"Gutschein - Einlösen";"";"1";"EUR";"-14,00"
"2025-02-13 14:17:55";"55978";"Suedseite - Bakery and Roastery";"B5524406-267C-4BD5-9266-8333F967D42E";"A51";"Vendeur";"Tippfehler";"Rustico";"";"1";"EUR";"6,20"
