"Geschäft";"Geschäfts ID";"Datum und Uhrzeit";"Belegnummer";"Grund";"Buchungstext";"Währung";"Einnahmen";"Ausgaben";"Mehrwertsteuersatz";"Betrag MwSt";"Kassenbestand"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 09:38:54";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7334";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"154,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 09:43:10";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7335";"Sonstige Einnahme";"";"EUR";"10,00";"";"0,00";"0,00";"164,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 09:43:10";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7336";"Wechselgeld";"";"EUR";"";"-3,69";"0,00";"0,00";"160,31"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 09:45:31";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7337";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"164,31"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 10:08:44";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7338";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"168,31"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 10:12:49";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7339";"Sonstige Einnahme";"";"EUR";"3,80";"";"0,00";"0,00";"172,11"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 10:21:35";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7340";"Sonstige Einnahme";"";"EUR";"20,00";"";"0,00";"0,00";"192,11"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 10:21:35";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7341";"Wechselgeld";"";"EUR";"";"-15,40";"0,00";"0,00";"176,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 10:30:20";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7342";"Sonstige Einnahme";"";"EUR";"20,00";"";"0,00";"0,00";"196,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 10:30:20";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7343";"Wechselgeld";"";"EUR";"";"-13,40";"0,00";"0,00";"183,31"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 10:31:57";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7344";"Sonstige Einnahme";"";"EUR";"50,00";"";"0,00";"0,00";"233,31"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 10:31:57";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7345";"Wechselgeld";"";"EUR";"";"-38,60";"0,00";"0,00";"194,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 10:45:06";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7346";"Sonstige Einnahme";"";"EUR";"20,10";"";"0,00";"0,00";"214,81"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 10:45:06";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7347";"Wechselgeld";"";"EUR";"";"-13,00";"0,00";"0,00";"201,81"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 11:20:00";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7348";"Sonstige Einnahme";"";"EUR";"5,00";"";"0,00";"0,00";"206,81"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 11:20:00";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7349";"Wechselgeld";"";"EUR";"";"-2,69";"0,00";"0,00";"204,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 13:54:02";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7350";"Sonstige Einnahme";"";"EUR";"4,80";"";"0,00";"0,00";"208,92"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 13:59:44";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7351";"Sonstige Einnahme";"";"EUR";"9,80";"";"0,00";"0,00";"218,72"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 14:36:09";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7352";"Sonstige Einnahme";"";"EUR";"3,70";"";"0,00";"0,00";"222,42"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 14:37:45";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7353";"Sonstige Einnahme";"";"EUR";"3,50";"";"0,00";"0,00";"225,92"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 15:32:53";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7354";"Sonstige Einnahme";"";"EUR";"4,20";"";"0,00";"0,00";"230,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 15:44:49";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7355";"Sonstige Einnahme";"";"EUR";"5,10";"";"0,00";"0,00";"235,22"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 15:46:55";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7356";"Sonstige Einnahme";"";"EUR";"4,60";"";"0,00";"0,00";"239,82"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 15:47:25";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7357";"Sonstige Einnahme";"";"EUR";"3,50";"";"0,00";"0,00";"243,32"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 16:03:37";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7358";"Sonstige Einnahme";"";"EUR";"4,70";"";"0,00";"0,00";"248,02"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 16:08:41";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7359";"Sonstige Einnahme";"";"EUR";"3,50";"";"0,00";"0,00";"251,52"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 17:01:29";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7360";"Sonstige Einnahme";"";"EUR";"3,90";"";"0,00";"0,00";"255,42"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 18:28:10";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-7361";"Transfer von Kasse zur Bank";"";"EUR";"";"-105,42";"0,00";"0,00";"150,00"
