"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Betrag";"Rückerstatteter Betrag";"Nettosumme"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01";"EUR";"CASH";"105,42";"0,00";"105,42"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01";"EUR";"SUMUP";"297,22";"0,00";"297,22"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-02";"EUR";"CASH";"154,78";"0,00";"154,78"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-02";"EUR";"SUMUP";"306,46";"0,00";"306,46"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-03";"EUR";"CASH";"111,46";"-2,50";"108,96"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-03";"EUR";"SUMUP";"551,20";"0,00";"551,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-04";"EUR";"CASH";"206,80";"0,00";"206,80"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-04";"EUR";"SUMUP";"701,40";"0,00";"701,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-05";"EUR";"CASH";"295,27";"-2,70";"292,57"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-05";"EUR";"SUMUP";"1211,27";"0,00";"1211,27"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-06";"EUR";"CASH";"211,60";"0,00";"211,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-06";"EUR";"SUMUP";"773,03";"0,00";"773,03"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-07";"EUR";"CASH";"95,39";"0,00";"95,39"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-07";"EUR";"SUMUP";"411,50";"0,00";"411,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-08";"EUR";"CASH";"177,10";"0,00";"177,10"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-08";"EUR";"SUMUP";"455,07";"0,00";"455,07"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-09";"EUR";"CASH";"110,70";"0,00";"110,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-09";"EUR";"SUMUP";"525,09";"0,00";"525,09"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-10";"EUR";"CASH";"284,55";"-3,50";"281,05"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-10";"EUR";"SUMUP";"607,82";"0,00";"607,82"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-11";"EUR";"CASH";"252,03";"-9,00";"243,03"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-11";"EUR";"SUMUP";"684,20";"0,00";"684,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-12";"EUR";"CASH";"430,14";"-12,60";"417,54"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-12";"EUR";"SUMUP";"1036,67";"-16,20";"1020,47"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-13";"EUR";"CASH";"152,00";"0,00";"152,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-13";"EUR";"SUMUP";"946,01";"0,00";"946,01"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-14";"EUR";"CASH";"150,30";"0,00";"150,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-14";"EUR";"CREDIT_NOTE";"3,30";"0,00";"3,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-14";"EUR";"SUMUP";"520,32";"0,00";"520,32"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-15";"EUR";"CASH";"213,60";"0,00";"213,60"
