"Geschäft";"Geschäfts ID";"Datum";"Währung";"MwSt";"Umsatz ohne Steuer";"Umsatz inkl. Steuer";"Rückerstattet (ohne Steuer)";"Rückerstattet ( inkl. Steuer)";"MwSt-Betrag"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01";"EUR";"0,00";"141,16";"141,16";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01";"EUR";"0,07";"141,31";"151,22";"0,00";"0,00";"9,91"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01";"EUR";"0,19";"77,30";"92,00";"0,00";"0,00";"14,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-02";"EUR";"0,00";"128,33";"128,33";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-02";"EUR";"0,07";"221,36";"236,88";"0,00";"0,00";"15,52"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-02";"EUR";"0,19";"65,70";"78,20";"0,00";"0,00";"12,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-03";"EUR";"0,00";"95,41";"95,41";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-03";"EUR";"0,07";"417,15";"446,37";"2,34";"2,50";"29,06"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-03";"EUR";"0,19";"73,51";"87,50";"0,00";"0,00";"13,99"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-04";"EUR";"0,00";"149,56";"149,56";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-04";"EUR";"0,07";"577,82";"618,40";"0,00";"0,00";"40,58"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-04";"EUR";"0,19";"94,33";"112,30";"0,00";"0,00";"17,97"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-05";"EUR";"0,00";"291,84";"291,84";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-05";"EUR";"0,07";"859,54";"919,62";"2,52";"2,70";"59,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-05";"EUR";"0,19";"183,80";"218,76";"0,00";"0,00";"34,96"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-06";"EUR";"0,00";"59,80";"59,80";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-06";"EUR";"0,07";"629,50";"673,54";"0,00";"0,00";"44,04"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-06";"EUR";"0,19";"173,55";"206,55";"0,00";"0,00";"33,00"
