"Geschäft";"Geschäfts ID";"Datum";"Währung";"MwSt";"Umsatz ohne Steuer";"Umsatz inkl. Steuer";"Rückerstattet (ohne Steuer)";"Rückerstattet ( inkl. Steuer)";"MwSt-Betrag"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01";"EUR";"0,00";"135,80";"135,80";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01";"EUR";"0,07";"658,35";"704,48";"0,00";"0,00";"46,13"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01";"EUR";"0,19";"181,63";"216,20";"0,00";"0,00";"34,57"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-02";"EUR";"0,00";"41,20";"41,20";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-02";"EUR";"0,07";"396,44";"424,20";"0,00";"0,00";"27,76"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-02";"EUR";"0,19";"57,61";"68,59";"0,00";"0,00";"10,98"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-03";"EUR";"0,00";"85,60";"85,60";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-03";"EUR";"0,07";"488,79";"523,00";"0,00";"0,00";"34,21"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-03";"EUR";"0,19";"61,49";"73,20";"0,00";"0,00";"11,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-04";"EUR";"0,00";"9,40";"9,40";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-04";"EUR";"0,07";"408,46";"437,10";"0,00";"0,00";"28,64"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-04";"EUR";"0,19";"81,76";"97,30";"0,00";"0,00";"15,54"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-05";"EUR";"0,00";"18,00";"18,00";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-05";"EUR";"0,07";"444,00";"475,20";"0,00";"0,00";"31,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-05";"EUR";"0,19";"65,51";"77,99";"0,00";"0,00";"12,48"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-06";"EUR";"0,00";"41,80";"41,80";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-06";"EUR";"0,07";"560,79";"600,17";"0,00";"0,00";"39,38"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-06";"EUR";"0,19";"76,62";"91,20";"0,00";"0,00";"14,58"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-07";"EUR";"0,00";"100,60";"100,60";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-07";"EUR";"0,07";"1266,87";"1355,80";"0,00";"0,00";"88,93"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-07";"EUR";"0,19";"401,17";"477,46";"0,00";"0,00";"76,29"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-08";"EUR";"0,00";"13,30";"13,30";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-08";"EUR";"0,07";"636,37";"681,10";"1,40";"1,50";"44,63"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-08";"EUR";"0,19";"152,41";"181,40";"0,00";"0,00";"28,99"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-09";"EUR";"0,00";"117,71";"117,71";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-09";"EUR";"0,07";"781,30";"836,10";"6,82";"7,30";"54,32"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-09";"EUR";"0,19";"262,07";"311,93";"0,00";"0,00";"49,86"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-10";"EUR";"0,00";"27,60";"27,60";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-10";"EUR";"0,07";"381,50";"408,22";"0,00";"0,00";"26,72"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-10";"EUR";"0,19";"140,24";"166,90";"0,00";"0,00";"26,66"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-11";"EUR";"0,00";"88,30";"88,30";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-11";"EUR";"0,07";"489,70";"524,11";"0,00";"0,00";"34,41"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-11";"EUR";"0,19";"128,38";"152,80";"0,00";"0,00";"24,42"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-12";"EUR";"0,00";"153,40";"153,40";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-12";"EUR";"0,07";"461,78";"494,13";"0,00";"0,00";"32,35"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-12";"EUR";"0,19";"83,83";"99,79";"0,00";"0,00";"15,96"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-13";"EUR";"0,00";"118,17";"118,17";"0,00";"0,00";"0,00"
