"Geschäft";"Geschäfts ID";"Datum und Uhrzeit";"Belegnummer";"Grund";"Buchungstext";"Währung";"Einnahmen";"Ausgaben";"Mehrwertsteuersatz";"Betrag MwSt";"Kassenbestand"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 11:06:18";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6439";"Sonstige Einnahme";"";"EUR";"5,81";"";"0,00";"0,00";"155,81"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 11:07:05";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6440";"Sonstige Einnahme";"";"EUR";"5,81";"";"0,00";"0,00";"161,62"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 11:45:59";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6441";"Sonstige Einnahme";"";"EUR";"10,20";"";"0,00";"0,00";"171,82"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 11:52:24";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6442";"Sonstige Einnahme";"";"EUR";"2,31";"";"0,00";"0,00";"174,13"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 12:20:47";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6443";"Sonstige Einnahme";"";"EUR";"5,81";"";"0,00";"0,00";"179,94"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 12:41:17";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6444";"Sonstige Einnahme";"";"EUR";"4,90";"";"0,00";"0,00";"184,84"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 12:55:10";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6445";"Sonstige Einnahme";"";"EUR";"5,10";"";"0,00";"0,00";"189,94"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 12:56:06";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6446";"Sonstige Einnahme";"";"EUR";"9,31";"";"0,00";"0,00";"199,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 13:02:10";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6447";"Sonstige Einnahme";"";"EUR";"9,40";"";"0,00";"0,00";"208,65"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 13:16:16";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6448";"Sonstige Einnahme";"";"EUR";"9,20";"";"0,00";"0,00";"217,85"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 13:31:51";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6449";"Sonstige Einnahme";"";"EUR";"4,20";"";"0,00";"0,00";"222,05"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 13:32:26";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6450";"Sonstige Einnahme";"";"EUR";"3,70";"";"0,00";"0,00";"225,75"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 13:45:12";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6451";"Sonstige Einnahme";"";"EUR";"4,30";"";"0,00";"0,00";"230,05"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 13:50:34";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6452";"Sonstige Einnahme";"";"EUR";"13,70";"";"0,00";"0,00";"243,75"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 13:51:43";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6453";"Sonstige Einnahme";"";"EUR";"8,10";"";"0,00";"0,00";"251,85"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 13:53:21";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6454";"Sonstige Einnahme";"";"EUR";"6,90";"";"0,00";"0,00";"258,75"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01 14:13:33";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-6455";"Sonstige Einnahme";"";"EUR";"8,90";"";"0,00";"0,00";"267,65"
