"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Betrag";"Rückerstatteter Betrag";"Nettosumme"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01";"EUR";"CASH";"180,05";"0,00";"180,05"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-01";"EUR";"SUMUP";"926,26";"0,00";"926,26"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-02";"EUR";"CASH";"70,60";"0,00";"70,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-02";"EUR";"SUMUP";"497,41";"0,00";"497,41"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-03";"EUR";"CASH";"76,90";"0,00";"76,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-03";"EUR";"SUMUP";"640,12";"0,00";"640,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-04";"EUR";"CASH";"66,30";"0,00";"66,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-04";"EUR";"SUMUP";"506,81";"0,00";"506,81"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-05";"EUR";"CASH";"194,17";"0,00";"194,17"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-05";"EUR";"SUMUP";"400,06";"0,00";"400,06"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-06";"EUR";"CASH";"56,60";"0,00";"56,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-06";"EUR";"SUMUP";"710,51";"0,00";"710,51"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-07";"EUR";"CASH";"387,85";"0,00";"387,85"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-07";"EUR";"SUMUP";"1642,60";"0,00";"1642,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-08";"EUR";"CASH";"137,20";"0,00";"137,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-08";"EUR";"SUMUP";"782,22";"-1,50";"780,72"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-09";"EUR";"CASH";"327,60";"0,00";"327,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-09";"EUR";"SUMUP";"1007,44";"-7,30";"1000,14"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-10";"EUR";"CASH";"151,90";"0,00";"151,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-10";"EUR";"SUMUP";"479,84";"0,00";"479,84"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-11";"EUR";"CASH";"203,90";"0,00";"203,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-11";"EUR";"SUMUP";"599,21";"0,00";"599,21"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-12";"EUR";"CASH";"207,20";"0,00";"207,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-12";"EUR";"SUMUP";"568,14";"0,00";"568,14"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-13";"EUR";"CASH";"181,91";"0,00";"181,91"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-13";"EUR";"SUMUP";"505,52";"0,00";"505,52"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-14";"EUR";"CASH";"192,88";"0,00";"192,88"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-14";"EUR";"SUMUP";"651,07";"0,00";"651,07"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-15";"EUR";"CASH";"88,80";"0,00";"88,80"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-15";"EUR";"CREDIT_NOTE";"3,90";"0,00";"3,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-15";"EUR";"SUMUP";"638,18";"0,00";"638,18"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-16";"EUR";"CASH";"204,30";"0,00";"204,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-16";"EUR";"SUMUP";"429,10";"0,00";"429,10"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-17";"EUR";"CASH";"232,90";"0,00";"232,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-17";"EUR";"SUMUP";"634,01";"0,00";"634,01"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-18";"EUR";"CASH";"292,15";"0,00";"292,15"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-18";"EUR";"SUMUP";"571,28";"0,00";"571,28"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-19";"EUR";"CASH";"321,70";"-8,50";"313,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-19";"EUR";"SUMUP";"875,75";"0,00";"875,75"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-20";"EUR";"CASH";"185,24";"0,00";"185,24"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-20";"EUR";"SUMUP";"879,94";"0,00";"879,94"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-21";"EUR";"CASH";"254,93";"0,00";"254,93"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-21";"EUR";"SUMUP";"876,69";"0,00";"876,69"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-22";"EUR";"CASH";"158,31";"0,00";"158,31"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-22";"EUR";"SUMUP";"450,05";"0,00";"450,05"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-23";"EUR";"CASH";"19,60";"0,00";"19,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-23";"EUR";"SUMUP";"560,76";"0,00";"560,76"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-24";"EUR";"CASH";"193,90";"0,00";"193,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-06-24";"EUR";"SUMUP";"471,38";"0,00";"471,38"
