"Geschäft";"Geschäfts ID";"Datum und Uhrzeit";"Belegnummer";"Grund";"Buchungstext";"Währung";"Einnahmen";"Ausgaben";"Mehrwertsteuersatz";"Betrag MwSt";"Kassenbestand"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 11:18:56";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2645";"Sonstige Einnahme";"";"EUR";"17,20";"";"0,00";"0,00";"167,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 11:56:32";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2646";"Sonstige Einnahme";"";"EUR";"15,00";"";"0,00";"0,00";"182,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 12:16:49";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2647";"Sonstige Einnahme";"";"EUR";"8,00";"";"0,00";"0,00";"190,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 12:34:35";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2648";"Sonstige Einnahme";"";"EUR";"8,20";"";"0,00";"0,00";"198,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 12:41:15";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2649";"Sonstige Einnahme";"";"EUR";"7,30";"";"0,00";"0,00";"205,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 13:28:32";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2650";"Sonstige Einnahme";"";"EUR";"9,20";"";"0,00";"0,00";"214,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 13:29:03";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2651";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"218,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 13:41:32";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2652";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"222,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 13:58:45";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2653";"Sonstige Einnahme";"";"EUR";"6,70";"";"0,00";"0,00";"229,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:15:07";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2654";"Sonstige Einnahme";"";"EUR";"4,30";"";"0,00";"0,00";"233,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:20:54";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2655";"Sonstige Einnahme";"";"EUR";"8,00";"";"0,00";"0,00";"241,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:24:58";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2656";"Sonstige Einnahme";"";"EUR";"3,30";"";"0,00";"0,00";"245,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:26:37";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2657";"Sonstige Einnahme";"";"EUR";"10,80";"";"0,00";"0,00";"256,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:27:16";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2658";"Sonstige Einnahme";"";"EUR";"3,70";"";"0,00";"0,00";"259,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:38:22";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2659";"Sonstige Einnahme";"";"EUR";"6,00";"";"0,00";"0,00";"265,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:42:07";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2660";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"269,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:52:38";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2661";"Sonstige Einnahme";"";"EUR";"12,60";"";"0,00";"0,00";"282,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:54:11";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2662";"Sonstige Einnahme";"";"EUR";"8,00";"";"0,00";"0,00";"290,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 15:45:05";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2663";"Sonstige Einnahme";"";"EUR";"22,40";"";"0,00";"0,00";"312,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 15:48:49";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2664";"Sonstige Einnahme";"";"EUR";"7,90";"";"0,00";"0,00";"320,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 15:53:53";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2665";"Sonstige Einnahme";"";"EUR";"13,00";"";"0,00";"0,00";"333,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 15:58:56";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2666";"Sonstige Einnahme";"";"EUR";"2,70";"";"0,00";"0,00";"336,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 16:04:12";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2667";"Sonstige Einnahme";"";"EUR";"8,00";"";"0,00";"0,00";"344,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 16:06:08";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2668";"Sonstige Einnahme";"";"EUR";"8,20";"";"0,00";"0,00";"352,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 16:41:59";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2669";"Sonstige Einnahme";"";"EUR";"3,50";"";"0,00";"0,00";"356,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 17:03:33";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2670";"Sonstige Einnahme";"";"EUR";"4,40";"";"0,00";"0,00";"360,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 17:25:03";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2671";"Sonstige Einnahme";"";"EUR";"7,50";"";"0,00";"0,00";"367,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 17:37:46";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2672";"Sonstige Einnahme";"";"EUR";"19,10";"";"0,00";"0,00";"387,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 17:38:03";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2673";"Sonstige Einnahme";"";"EUR";"14,60";"";"0,00";"0,00";"401,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 18:12:30";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2674";"Trinkgeldauszahlung";"";"EUR";"";"-58,24";"0,00";"0,00";"343,36"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 18:19:36";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2675";"Erstattung";"";"EUR";"";"-19,10";"0,00";"0,00";"324,26"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 18:23:59";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2676";"Transfer von Kasse zur Bank";"";"EUR";"";"-174,26";"0,00";"0,00";"150,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 18:25:36";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2677";"Wechselgeld";"";"EUR";"";"-6,80";"0,00";"0,00";"143,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 18:26:18";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2678";"Erstattung";"";"EUR";"";"-6,80";"0,00";"0,00";"136,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 18:28:24";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2679";"Änderungseintrag";"";"EUR";"13,60";"";"0,00";"0,00";"150,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 12:35:09";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2680";"Sonstige Einnahme";"";"EUR";"8,10";"";"0,00";"0,00";"158,10"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 12:54:11";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2681";"Sonstige Einnahme";"";"EUR";"12,50";"";"0,00";"0,00";"170,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 13:37:51";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2682";"Sonstige Einnahme";"";"EUR";"8,00";"";"0,00";"0,00";"178,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 14:02:46";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2683";"Sonstige Einnahme";"";"EUR";"15,80";"";"0,00";"0,00";"194,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 14:23:02";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2684";"Sonstige Einnahme";"";"EUR";"8,00";"";"0,00";"0,00";"202,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 14:29:28";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-2685";"Sonstige Einnahme";"";"EUR";"6,80";"";"0,00";"0,00";"209,20"
