"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Betrag";"Rückerstatteter Betrag";"Nettosumme"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-23";"EUR";"SUMUP";"927,33";"0,00";"927,33"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-24";"EUR";"CASH";"111,80";"0,00";"111,80"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-24";"EUR";"SUMUP";"342,99";"0,00";"342,99"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-25";"EUR";"CASH";"46,30";"0,00";"46,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-25";"EUR";"SUMUP";"271,24";"0,00";"271,24"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-26";"EUR";"CASH";"155,00";"-7,50";"147,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-26";"EUR";"SUMUP";"266,20";"0,00";"266,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-27";"EUR";"CASH";"53,31";"0,00";"53,31"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-27";"EUR";"SUMUP";"386,38";"0,00";"386,38"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-28";"EUR";"CASH";"131,64";"0,00";"131,64"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-28";"EUR";"SUMUP";"546,52";"0,00";"546,52"
