"Geschäft";"Geschäfts ID";"Datum";"Währung";"MwSt";"Umsatz ohne Steuer";"Umsatz inkl. Steuer";"Rückerstattet (ohne Steuer)";"Rückerstattet ( inkl. Steuer)";"MwSt-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"0,07";"922,27";"987,15";"0,00";"0,00";"64,88"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"0,19";"476,09";"566,50";"0,00";"0,00";"90,41"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"0,00";"-25,00";"-25,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"0,07";"563,86";"603,60";"0,00";"0,00";"39,74"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"0,19";"205,37";"244,40";"0,00";"0,00";"39,03"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"0,07";"557,55";"596,80";"5,61";"6,00";"38,86"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"0,19";"171,70";"204,30";"3,36";"4,00";"31,96"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"0,07";"705,31";"754,90";"0,00";"0,00";"49,59"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"0,19";"218,74";"260,30";"0,00";"0,00";"41,56"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"0,00";"12,50";"12,50";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"0,07";"759,97";"813,52";"0,00";"0,00";"53,55"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"0,19";"297,89";"354,49";"0,00";"0,00";"56,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"0,00";"-31,90";"-31,90";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"0,07";"1089,19";"1165,71";"3,08";"3,30";"76,30"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"0,19";"390,76";"465,00";"6,89";"8,20";"72,93"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"0,00";"-27,00";"-27,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"0,07";"968,86";"1037,00";"9,44";"10,10";"67,48"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"0,19";"457,68";"544,60";"0,00";"0,00";"86,92"
"Suedseite - Bakery and Roastery";"55978";"2025-06-09";"EUR";"0,07";"83,18";"89,00";"0,00";"0,00";"5,82"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"0,07";"353,58";"378,52";"13,64";"14,60";"23,98"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"0,19";"129,39";"154,00";"3,36";"4,00";"23,97"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"0,07";"429,75";"460,00";"0,00";"0,00";"30,25"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"0,19";"144,40";"171,80";"0,00";"0,00";"27,40"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"0,00";"-5,30";"-5,30";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"0,07";"298,05";"319,04";"0,00";"0,00";"20,99"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"0,19";"222,15";"264,40";"0,00";"0,00";"42,25"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"0,00";"30,00";"30,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"0,07";"398,53";"426,60";"0,00";"0,00";"28,07"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"0,19";"177,61";"211,36";"0,00";"0,00";"33,75"
