"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Betrag";"Rückerstatteter Betrag";"Nettosumme"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"CASH";"465,80";"0,00";"465,80"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01";"EUR";"SUMUP";"1140,67";"0,00";"1140,67"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"CASH";"420,90";"0,00";"420,90"
"Suedseite - Bakery and Roastery";"55978";"2025-06-03";"EUR";"SUMUP";"414,25";"0,00";"414,25"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"CASH";"312,30";"-10,00";"302,30"
"Suedseite - Bakery and Roastery";"55978";"2025-06-04";"EUR";"SUMUP";"522,05";"0,00";"522,05"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"CASH";"476,50";"0,00";"476,50"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"562,80";"0,00";"562,80"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"CASH";"376,30";"0,00";"376,30"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"830,19";"0,00";"830,19"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"CASH";"494,10";"-11,50";"482,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1151,42";"0,00";"1151,42"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"CASH";"535,60";"-10,10";"525,50"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1061,60";"0,00";"1061,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-09";"EUR";"SUMUP";"89,00";"0,00";"89,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"CASH";"258,92";"-18,60";"240,32"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"SUMUP";"282,84";"0,00";"282,84"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"CASH";"268,40";"0,00";"268,40"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"385,07";"0,00";"385,07"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"CASH";"284,74";"0,00";"284,74"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"312,34";"0,00";"312,34"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"CASH";"254,50";"0,00";"254,50"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"SUMUP";"430,78";"0,00";"430,78"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"CASH";"282,78";"0,00";"282,78"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"684,48";"0,00";"684,48"
