"Geschäft";"Geschäfts ID";"Datum und Uhrzeit";"Belegnummer";"Grund";"Buchungstext";"Währung";"Einnahmen";"Ausgaben";"Mehrwertsteuersatz";"Betrag MwSt";"Kassenbestand"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 09:19:00";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11515";"Sonstige Einnahme";"";"EUR";"3,80";"";"0,00";"0,00";"153,80"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 09:37:36";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11516";"Sonstige Einnahme";"";"EUR";"15,00";"";"0,00";"0,00";"168,80"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 09:37:36";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11517";"Wechselgeld";"";"EUR";"";"-1,60";"0,00";"0,00";"167,20"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 09:50:21";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11518";"Sonstige Einnahme";"";"EUR";"11,90";"";"0,00";"0,00";"179,10"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 09:52:45";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11519";"Sonstige Einnahme";"";"EUR";"20,00";"";"0,00";"0,00";"199,10"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 09:52:45";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11520";"Wechselgeld";"";"EUR";"";"-13,00";"0,00";"0,00";"186,10"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 09:58:29";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11521";"Sonstige Einnahme";"";"EUR";"9,60";"";"0,00";"0,00";"195,70"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 10:09:10";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11522";"Sonstige Einnahme";"";"EUR";"3,00";"";"0,00";"0,00";"198,70"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 10:27:44";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11523";"Sonstige Einnahme";"";"EUR";"10,60";"";"0,00";"0,00";"209,30"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 10:33:57";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11524";"Sonstige Einnahme";"";"EUR";"9,55";"";"0,00";"0,00";"218,85"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 10:35:41";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11525";"Sonstige Einnahme";"";"EUR";"5,00";"";"0,00";"0,00";"223,85"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 11:12:14";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11526";"Sonstige Einnahme";"";"EUR";"10,50";"";"0,00";"0,00";"234,35"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 11:14:15";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11527";"Sonstige Einnahme";"";"EUR";"3,50";"";"0,00";"0,00";"237,85"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 11:45:53";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11528";"Sonstige Einnahme";"";"EUR";"5,00";"";"0,00";"0,00";"242,85"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 11:47:19";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11529";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"246,85"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 11:57:53";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11530";"Sonstige Einnahme";"";"EUR";"11,55";"";"0,00";"0,00";"258,40"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 11:59:46";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11531";"Sonstige Einnahme";"";"EUR";"6,20";"";"0,00";"0,00";"264,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 12:30:49";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11532";"Sonstige Einnahme";"";"EUR";"10,00";"";"0,00";"0,00";"274,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 12:42:04";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11533";"Sonstige Einnahme";"";"EUR";"6,30";"";"0,00";"0,00";"280,90"
"Suedseite - Bakery and Roastery";"55978";"2025-06-01 12:57:09";"55978-6DE2B571-031A-4EF9-A699-E86201AAA488-11534";"Sonstige Einnahme";"";"EUR";"24,00";"";"0,00";"0,00";"304,90"
