"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Trinkgeld-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,45"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,37"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"3,01"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,38"
"Suedseite - Bakery and Roastery";"55978";"2025-06-05";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,96"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,41"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,26"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,09"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,70"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,80"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,86"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"2,02"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"0,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"5,28"
"Suedseite - Bakery and Roastery";"55978";"2025-06-06";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"2,12"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,83"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,42"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,77"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,10"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,54"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"2,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"2,89"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,82"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,48"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"3,75"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"2,53"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,17"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"2,10"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"2,62"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,78"
"Suedseite - Bakery and Roastery";"55978";"2025-06-07";"EUR";"SUMUP";"1,19"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,52"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,42"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,32"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"2,44"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"3,50"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,68"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,11"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,46"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,85"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,33"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,28"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"2,27"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"3,82"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"1,52"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"2,58"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-06-08";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"SUMUP";"2,61"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"SUMUP";"2,38"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"SUMUP";"1,62"
"Suedseite - Bakery and Roastery";"55978";"2025-06-10";"EUR";"SUMUP";"1,63"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"2,95"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"2,04"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"1,50"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"3,85"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"1,44"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"1,11"
"Suedseite - Bakery and Roastery";"55978";"2025-06-11";"EUR";"SUMUP";"1,28"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"0,40"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"2,31"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"2,06"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"1,20"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"0,40"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"1,50"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"1,17"
