"Geschäft";"Geschäfts ID";"Eröffnungsdatum";"Datum geschlossen";"Bestellnummer";"Währung";"Zahlungsart";"Betrag Trinkgeld"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 10:32:00";"2025-07-01 10:38:22";"EAA92823-F76A-4918-8CB1-146640A45398";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 10:53:16";"2025-07-01 11:05:40";"34120FE1-BF05-40CF-B4D9-0FA168C5AAFF";"EUR";"SumUp";"0,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 12:00:37";"2025-07-01 12:03:51";"03CD7385-09C3-4F1B-A7C0-7DFDC1987AF8";"EUR";"SumUp";"1,10"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 12:08:45";"2025-07-01 12:13:51";"445B47F8-6DF7-44E2-8062-3D544987008C";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 12:23:04";"2025-07-01 12:26:38";"4946AB10-A7F4-411C-BD73-2D94213467CF";"EUR";"SumUp";"0,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 12:26:46";"2025-07-01 12:28:43";"5FBB849D-C2C0-43F8-B645-73D3929F8C08";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 13:05:06";"2025-07-01 13:09:19";"DD6A5E49-64D0-462D-B8E2-DCDF301E8E1D";"EUR";"SumUp";"1,22"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 13:09:27";"2025-07-01 13:12:26";"8CA59C89-7DC6-4861-8414-9A93214B4997";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 13:14:41";"2025-07-01 13:16:31";"D6BB611D-053E-4455-B095-5DFA0B30747E";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 13:36:55";"2025-07-01 13:41:32";"471B7B6F-A586-463C-BEE5-399CA633432E";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 13:41:38";"2025-07-01 13:42:31";"0D77F9F5-B0B4-4175-9706-DD4B441D2ED4";"EUR";"SumUp";"0,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 13:42:50";"2025-07-01 13:43:31";"015CAC1F-4FDB-4F52-B103-612DABEDFBA8";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 14:25:27";"2025-07-01 14:30:21";"BB8C84D9-7CA5-4E39-BF50-BA342948342C";"EUR";"SumUp";"1,04"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 15:58:29";"2025-07-01 16:00:58";"E3523C7A-A06D-49F9-BAF0-8CEB0026EEFA";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 16:15:27";"2025-07-01 16:18:02";"FECBAFEA-8E29-4611-ACB6-40291137C0C2";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 16:36:18";"2025-07-01 16:39:10";"4E3987FC-EA2A-489D-88DE-ECCC4A55A79D";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 16:51:55";"2025-07-01 16:53:33";"F0CEE0DC-C7DC-4815-AF5F-2D6037F9077E";"EUR";"SumUp";"0,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 17:12:35";"2025-07-01 17:30:40";"DBEFA0E2-E4E0-43C0-B2B2-2C7779065B36";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-07-01 17:39:00";"2025-07-01 17:39:42";"8821F26D-B5E4-4257-8D50-BD11DAA681EF";"EUR";"SumUp";"2,00"
