"Datum geschlossen";"Geschäfts ID";"Geschäft";"Bestellnummer";"Bestellname";"Verkäufer";"Anmerkungen";"Produkt";"Artikelnummer";"Menge";"Währung";"Stückpreis inkl. MwSt"
"2025-07-21 13:38:22";"56297";"Suedseite - Coffee Roasters & Bakery";"2F0D0AAB-FBA7-44B2-ABBC-595AC32544EA";"A43";"Vendeur";"Typo";"Knoten";"";"1";"EUR";"3,30"
"2025-07-21 13:38:22";"56297";"Suedseite - Coffee Roasters & Bakery";"2F0D0AAB-FBA7-44B2-ABBC-595AC32544EA";"A43";"Vendeur";"Typo";"Pias Kombucha";"";"1";"EUR";"3,90"
