"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Betrag";"Rückerstatteter Betrag";"Nettosumme"
"Suedseite - Bakery and Roastery";"55978";"2025-02-02";"EUR";"SUMUP";"1212,60";"0,00";"1212,60"
"Suedseite - Bakery and Roastery";"55978";"2025-02-03";"EUR";"SUMUP";"14,90";"0,00";"14,90"
"Suedseite - Bakery and Roastery";"55978";"2025-02-04";"EUR";"CASH";"372,90";"0,00";"372,90"
"Suedseite - Bakery and Roastery";"55978";"2025-02-04";"EUR";"CREDIT_NOTE";"8,00";"-8,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-02-04";"EUR";"SUMUP";"360,30";"0,00";"360,30"
"Suedseite - Bakery and Roastery";"55978";"2025-02-05";"EUR";"CASH";"261,70";"0,00";"261,70"
"Suedseite - Bakery and Roastery";"55978";"2025-02-05";"EUR";"SUMUP";"502,71";"0,00";"502,71"
"Suedseite - Bakery and Roastery";"55978";"2025-02-06";"EUR";"CASH";"400,42";"-11,92";"388,50"
"Suedseite - Bakery and Roastery";"55978";"2025-02-06";"EUR";"SUMUP";"380,22";"0,00";"380,22"
"Suedseite - Bakery and Roastery";"55978";"2025-02-07";"EUR";"CASH";"393,52";"0,00";"393,52"
"Suedseite - Bakery and Roastery";"55978";"2025-02-07";"EUR";"SUMUP";"577,35";"0,00";"577,35"
"Suedseite - Bakery and Roastery";"55978";"2025-02-08";"EUR";"CASH";"381,80";"0,00";"381,80"
"Suedseite - Bakery and Roastery";"55978";"2025-02-08";"EUR";"SUMUP";"1142,16";"0,00";"1142,16"
"Suedseite - Bakery and Roastery";"55978";"2025-02-09";"EUR";"CASH";"545,70";"0,00";"545,70"
"Suedseite - Bakery and Roastery";"55978";"2025-02-09";"EUR";"SUMUP";"1154,15";"0,00";"1154,15"
"Suedseite - Bakery and Roastery";"55978";"2025-02-11";"EUR";"CASH";"474,60";"0,00";"474,60"
"Suedseite - Bakery and Roastery";"55978";"2025-02-11";"EUR";"SUMUP";"446,07";"0,00";"446,07"
"Suedseite - Bakery and Roastery";"55978";"2025-02-12";"EUR";"CASH";"273,10";"0,00";"273,10"
"Suedseite - Bakery and Roastery";"55978";"2025-02-12";"EUR";"SUMUP";"462,60";"0,00";"462,60"
"Suedseite - Bakery and Roastery";"55978";"2025-02-13";"EUR";"CASH";"287,90";"0,00";"287,90"
"Suedseite - Bakery and Roastery";"55978";"2025-02-13";"EUR";"SUMUP";"529,57";"0,00";"529,57"
"Suedseite - Bakery and Roastery";"55978";"2025-02-14";"EUR";"CASH";"274,10";"0,00";"274,10"
"Suedseite - Bakery and Roastery";"55978";"2025-02-14";"EUR";"SUMUP";"773,00";"0,00";"773,00"
"Suedseite - Bakery and Roastery";"55978";"2025-02-15";"EUR";"CASH";"532,10";"0,00";"532,10"
"Suedseite - Bakery and Roastery";"55978";"2025-02-15";"EUR";"SUMUP";"1044,74";"0,00";"1044,74"
"Suedseite - Bakery and Roastery";"55978";"2025-02-16";"EUR";"CASH";"446,62";"-35,40";"411,22"
"Suedseite - Bakery and Roastery";"55978";"2025-02-16";"EUR";"SUMUP";"961,25";"0,00";"961,25"
"Suedseite - Bakery and Roastery";"55978";"2025-02-18";"EUR";"CASH";"213,50";"0,00";"213,50"
"Suedseite - Bakery and Roastery";"55978";"2025-02-18";"EUR";"SUMUP";"487,72";"0,00";"487,72"
"Suedseite - Bakery and Roastery";"55978";"2025-02-19";"EUR";"CASH";"445,68";"0,00";"445,68"
"Suedseite - Bakery and Roastery";"55978";"2025-02-19";"EUR";"SUMUP";"477,99";"0,00";"477,99"
"Suedseite - Bakery and Roastery";"55978";"2025-02-20";"EUR";"CASH";"342,40";"0,00";"342,40"
