"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Trinkgeld-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,65"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"0,80"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,37"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,58"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"CASH";"0,10"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"2,21"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,30"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,18"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"3,27"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,86"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,36"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,09"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"2,38"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,20"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"3,57"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,75"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"2,24"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,17"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"1,23"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"SUMUP";"4,65"
"Suedseite - Bakery and Roastery";"55978";"2025-01-04";"EUR";"SUMUP";"1,77"
"Suedseite - Bakery and Roastery";"55978";"2025-01-04";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-04";"EUR";"SUMUP";"1,80"
