"Geschäft";"Geschäfts ID";"Datum";"Währung";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"Betrag MwSt";"Gesamtrabatt";"Gesamt Stornos";"Gesamtrückerstattung (inkl. Steuer)";"Gesamtrückerstattung (ohne Steuer)";"Gesamt Zahlungen";"Gesamtausgaben";"Gesamtbetrag Kundenkonten";"Gesamtbetrag Trinkgeld"
"Suedseite - Bakery and Roastery";"55978";"2025-01-03";"EUR";"1045,90";"946,51";"98,11";"3,10";"0,00";"-8,00";"-6,72";"1083,86";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-04";"EUR";"1174,60";"1064,18";"110,42";"1,50";"0,00";"0,00";"0,00";"1205,88";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-05";"EUR";"871,60";"780,17";"91,43";"0,00";"0,00";"0,00";"0,00";"900,15";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-06";"EUR";"12,00";"10,08";"1,92";"0,00";"0,00";"0,00";"0,00";"14,40";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-07";"EUR";"705,10";"637,93";"67,17";"0,00";"0,00";"0,00";"0,00";"721,87";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-08";"EUR";"539,70";"490,29";"49,41";"0,00";"0,00";"0,00";"0,00";"556,38";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-09";"EUR";"710,10";"646,70";"63,40";"0,00";"0,00";"0,00";"0,00";"739,66";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-10";"EUR";"1321,50";"1204,01";"117,49";"0,00";"0,00";"0,00";"0,00";"1363,63";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-11";"EUR";"1292,20";"1167,87";"124,33";"1,00";"0,00";"0,00";"0,00";"1357,71";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-12";"EUR";"1458,65";"1301,08";"154,58";"8,40";"0,00";"-22,25";"-19,26";"1492,21";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-13";"EUR";"1,00";"0,93";"0,07";"0,00";"0,00";"-1,00";"-1,00";"0,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-14";"EUR";"914,00";"834,62";"79,38";"1,20";"0,00";"0,00";"0,00";"929,99";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-15";"EUR";"643,10";"584,82";"58,28";"4,00";"0,00";"0,00";"0,00";"665,88";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-16";"EUR";"876,14";"793,31";"82,83";"6,86";"0,00";"0,00";"0,00";"905,27";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-17";"EUR";"1022,30";"931,77";"90,53";"0,00";"0,00";"0,00";"0,00";"1050,36";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-18";"EUR";"1324,30";"1202,78";"120,13";"0,00";"0,00";"-15,10";"-13,71";"1370,50";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-19";"EUR";"1448,70";"1291,95";"156,75";"0,00";"0,00";"0,00";"0,00";"1500,38";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-21";"EUR";"787,55";"718,68";"68,87";"0,35";"0,00";"0,00";"0,00";"811,44";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-22";"EUR";"740,00";"673,82";"65,59";"0,00";"0,00";"-9,00";"-8,41";"755,62";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-23";"EUR";"648,30";"593,04";"55,26";"0,00";"0,00";"0,00";"0,00";"672,84";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-24";"EUR";"990,12";"900,22";"89,04";"0,00";"0,00";"-13,10";"-12,24";"1016,19";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-01-25";"EUR";"1410,30";"1285,02";"123,23";"3,70";"0,00";"-20,50";"-18,45";"1441,21";"0,00";"0,00";"0,00"
