"Geschäft";"Geschäfts ID";"Eröffnungsdatum";"Datum geschlossen";"Bestellnummer";"Währung";"Zahlungsart";"Betrag Trinkgeld"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 09:32:07";"2025-02-01 09:38:55";"4FE77FA5-0D61-4183-BF34-70BED398220C";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 09:42:02";"2025-02-01 09:46:15";"81C45C28-3B62-4E31-9565-91C41E2B59CA";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 09:46:22";"2025-02-01 09:47:27";"D23C8A72-BA38-4BE7-90BC-6BD1B6245C2D";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 10:02:40";"2025-02-01 10:07:46";"F9D5EB70-B753-429D-B167-350E7322AF29";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 10:08:20";"2025-02-01 10:10:39";"16CB845D-90D8-4B5B-A808-DB731498DF7E";"EUR";"SumUp";"1,89"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 11:02:14";"2025-02-01 11:03:36";"86A22F09-0F7D-421F-A900-47A1DA4CA5D1";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 11:35:51";"2025-02-01 11:36:57";"B08D9E4C-7C13-4283-B93D-AA51EC70D66B";"EUR";"SumUp";"2,21"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 11:56:39";"2025-02-01 11:57:55";"F12F42EC-DACF-410E-AD38-EB259B00FD8E";"EUR";"SumUp";"2,78"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 11:59:12";"2025-02-01 11:59:48";"364B62C2-AF8E-4EBB-A7CC-BB4E8D51D383";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 11:59:57";"2025-02-01 12:12:18";"D6E0DD31-DC6C-4376-8543-3952EB77F79F";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 12:50:54";"2025-02-01 12:51:43";"C053F14B-1DBD-4739-9AA0-F56F9E69A9E6";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 12:12:21";"2025-02-01 13:11:27";"DF7CD0F7-18D4-4EF7-83E9-636E3703718B";"EUR";"SumUp";"0,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 13:13:19";"2025-02-01 13:15:37";"29034621-4971-4E87-A857-22DF940A9930";"EUR";"SumUp";"2,62"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 13:20:04";"2025-02-01 13:22:13";"7D2AA767-2FC8-4CC3-AC52-CA00AB9B5A76";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 12:54:22";"2025-02-01 13:23:25";"D94A7A47-5C73-4DA1-8FB5-5F9500A21B9B";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 13:31:41";"2025-02-01 13:41:06";"AEBF1728-11C5-4FEA-8665-4C95973849A4";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 13:51:32";"2025-02-01 13:52:55";"E674217E-B4FC-47A2-963B-301EBD3F5D4D";"EUR";"SumUp";"1,13"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 13:53:02";"2025-02-01 13:57:56";"7175ADC8-4667-4814-B880-8CBD4380F9E4";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:01:40";"2025-02-01 14:02:28";"54807963-8652-4659-B0A4-6B112BB46903";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:02:42";"2025-02-01 14:03:28";"6692CD42-CF5D-4B92-8CF9-0F3509AA0DEF";"EUR";"SumUp";"1,06"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:05:27";"2025-02-01 14:06:56";"D7A8EA7B-B749-4C2A-AA0C-DD43E8AC6F5C";"EUR";"SumUp";"2,10"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:30:33";"2025-02-01 14:31:20";"771BECBD-6A71-45AA-BA2C-20636B9D005D";"EUR";"SumUp";"2,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:43:39";"2025-02-01 14:50:36";"41CD1942-990B-46BF-A7A9-EBDDE988996A";"EUR";"SumUp";"1,56"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:56:15";"2025-02-01 14:57:49";"564528CD-6AB8-477C-A5E5-765239E1F7D7";"EUR";"SumUp";"1,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 14:58:02";"2025-02-01 14:59:34";"49595FA0-5456-4D96-9232-05A7CCC72E46";"EUR";"SumUp";"1,86"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 15:20:52";"2025-02-01 15:24:19";"81370BC9-E58C-4BC4-8B84-23E804AF233E";"EUR";"SumUp";"1,98"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 15:24:32";"2025-02-01 15:25:13";"4D5EA0A0-A0CF-409A-89F9-4869DC549C35";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 15:26:23";"2025-02-01 15:28:20";"3CB4114B-443E-4B33-8C22-C00A9B9C095B";"EUR";"SumUp";"2,76"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 15:28:33";"2025-02-01 15:29:34";"CD73893F-4DE4-423F-A193-F6462F02AAE5";"EUR";"SumUp";"3,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 15:33:09";"2025-02-01 15:38:53";"D507501C-FBC7-4659-82D7-6238F48EAB20";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 15:54:23";"2025-02-01 15:57:14";"84FBBC78-BB5A-42BA-82DC-7DBB1A760500";"EUR";"SumUp";"1,13"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 16:04:17";"2025-02-01 16:05:47";"3EC76FD1-2C1E-4ED8-9C69-2E0E337C4E06";"EUR";"SumUp";"1,65"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 16:16:44";"2025-02-01 16:20:42";"6FBDEB26-684D-484A-9F08-85C625F867E4";"EUR";"SumUp";"1,32"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 16:20:49";"2025-02-01 16:21:34";"9B386748-E426-4B28-A029-6E6ADCB5AE83";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 16:22:03";"2025-02-01 16:24:18";"02CC7963-5502-4431-8721-BDD2086495D3";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 16:29:36";"2025-02-01 16:33:29";"7881676E-3226-4607-A0EB-204520D5A096";"EUR";"SumUp";"0,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 16:38:22";"2025-02-01 16:40:02";"EC0914E2-9F12-41E5-92BA-E6936711A724";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 16:50:31";"2025-02-01 16:59:48";"86E426FD-2A51-4A81-AB62-E0B6299DD4AA";"EUR";"SumUp";"2,89"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 16:59:56";"2025-02-01 17:03:09";"F4B25E65-919A-4643-9993-29B537074155";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 17:32:22";"2025-02-01 17:33:23";"CC240FBD-CA07-45A6-B661-E08D13BD764C";"EUR";"SumUp";"1,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 17:34:13";"2025-02-01 17:34:52";"FED9A353-5F87-4B30-A43B-2A97139EF688";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-01 17:05:30";"2025-02-01 18:27:10";"7685DC7D-D99E-4DAE-A844-0D5447F08495";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 10:43:16";"2025-02-02 10:46:31";"B10D7AB9-57CD-42C7-87C1-0F05690E72BA";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 11:29:22";"2025-02-02 11:46:42";"04F09199-5944-4ADD-878A-0939D5DB4B1D";"EUR";"SumUp";"1,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 11:46:46";"2025-02-02 11:47:30";"C73D4920-890B-43DA-9F84-E00C77E26CA9";"EUR";"SumUp";"1,46"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 12:10:04";"2025-02-02 12:28:58";"3C12840B-039F-4B84-BD0D-FE4668D7B990";"EUR";"SumUp";"3,87"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 12:31:41";"2025-02-02 12:32:33";"AD1EFFDF-A5AE-41D9-BC33-BCCD3965D175";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 12:55:23";"2025-02-02 12:56:24";"378310B6-5B34-4569-A1EA-5C6C40CED074";"EUR";"SumUp";"1,97"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 13:15:12";"2025-02-02 13:16:06";"155A70BB-0DA1-42B4-A49A-ED5D02D4D2B6";"EUR";"SumUp";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 13:17:57";"2025-02-02 13:19:57";"3C421846-F2E1-49B0-B1DB-B2A12B12AD6E";"EUR";"SumUp";"1,45"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 13:28:29";"2025-02-02 13:29:53";"24149B0B-C83D-4DDB-A3B6-FD4384E28A23";"EUR";"SumUp";"2,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-02-02 12:35:45";"2025-02-02 13:44:55";"B46000CD-D8A7-45EF-8063-38A989B17A8A";"EUR";"SumUp";"2,00"
