"Geschäft";"Geschäfts ID";"Datum";"Währung";"MwSt";"Umsatz ohne Steuer";"Umsatz inkl. Steuer";"Rückerstattet (ohne Steuer)";"Rückerstattet ( inkl. Steuer)";"MwSt-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-04-24";"EUR";"0,19";"198,75";"236,52";"0,00";"0,00";"37,77"
"Suedseite - Bakery and Roastery";"55978";"2025-04-25";"EUR";"0,07";"616,29";"659,60";"11,58";"12,40";"42,49"
"Suedseite - Bakery and Roastery";"55978";"2025-04-25";"EUR";"0,19";"170,47";"202,90";"0,00";"0,00";"32,43"
"Suedseite - Bakery and Roastery";"55978";"2025-04-26";"EUR";"0,00";"10,00";"10,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-26";"EUR";"0,07";"1643,44";"1758,90";"10,15";"10,85";"114,76"
"Suedseite - Bakery and Roastery";"55978";"2025-04-26";"EUR";"0,19";"1445,80";"1721,02";"3,29";"3,92";"274,59"
"Suedseite - Bakery and Roastery";"55978";"2025-04-27";"EUR";"0,00";"4,50";"4,50";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-27";"EUR";"0,07";"931,29";"996,72";"0,00";"0,00";"65,43"
"Suedseite - Bakery and Roastery";"55978";"2025-04-27";"EUR";"0,19";"502,59";"598,10";"0,00";"0,00";"95,51"
"Suedseite - Bakery and Roastery";"55978";"2025-04-29";"EUR";"0,00";"20,00";"20,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-29";"EUR";"0,07";"607,30";"650,10";"12,89";"13,80";"41,89"
"Suedseite - Bakery and Roastery";"55978";"2025-04-29";"EUR";"0,19";"216,13";"257,18";"7,06";"8,40";"39,71"
"Suedseite - Bakery and Roastery";"55978";"2025-04-30";"EUR";"0,00";"20,00";"20,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-30";"EUR";"0,07";"648,32";"693,94";"11,45";"12,26";"44,81"
"Suedseite - Bakery and Roastery";"55978";"2025-04-30";"EUR";"0,19";"223,97";"266,50";"0,00";"0,00";"42,53"
