"Geschäft";"Geschäfts ID";"Datum";"Währung";"MwSt";"Umsatz ohne Steuer";"Umsatz inkl. Steuer";"Rückerstattet (ohne Steuer)";"Rückerstattet ( inkl. Steuer)";"MwSt-Betrag"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-22";"EUR";"0,07";"323,72";"346,40";"0,00";"0,00";"22,68"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-22";"EUR";"0,19";"41,60";"49,50";"0,00";"0,00";"7,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-23";"EUR";"0,00";"11,30";"11,30";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-23";"EUR";"0,07";"353,85";"378,64";"0,00";"0,00";"24,79"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-23";"EUR";"0,19";"50,17";"59,71";"0,00";"0,00";"9,54"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-24";"EUR";"0,07";"545,80";"584,10";"0,00";"0,00";"38,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-24";"EUR";"0,19";"65,78";"78,30";"0,00";"0,00";"12,52"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-25";"EUR";"0,00";"4,55";"4,55";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-25";"EUR";"0,07";"911,29";"975,10";"0,00";"0,00";"63,81"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-25";"EUR";"0,19";"126,02";"150,00";"0,00";"0,00";"23,98"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-26";"EUR";"0,07";"639,87";"684,70";"0,00";"0,00";"44,83"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-26";"EUR";"0,19";"100,06";"119,10";"0,00";"0,00";"19,04"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-27";"EUR";"0,07";"275,60";"294,88";"0,00";"0,00";"19,28"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-27";"EUR";"0,19";"42,69";"50,81";"0,00";"0,00";"8,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-28";"EUR";"0,00";"-11,30";"-11,30";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-28";"EUR";"0,07";"374,24";"400,50";"0,00";"0,00";"26,26"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-28";"EUR";"0,19";"50,57";"60,20";"0,00";"0,00";"9,63"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-29";"EUR";"0,07";"345,75";"370,06";"0,00";"0,00";"24,31"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-29";"EUR";"0,19";"43,76";"52,10";"0,00";"0,00";"8,34"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-30";"EUR";"0,07";"296,56";"317,35";"0,00";"0,00";"20,79"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-30";"EUR";"0,19";"81,24";"96,70";"0,00";"0,00";"15,46"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-31";"EUR";"0,00";"-6,70";"-6,70";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-31";"EUR";"0,07";"557,94";"597,12";"7,48";"8,00";"38,66"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-31";"EUR";"0,19";"23,27";"27,70";"0,00";"0,00";"4,43"
