"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Betrag";"Rückerstatteter Betrag";"Nettosumme"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03";"EUR";"CASH";"159,28";"0,00";"159,28"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03";"EUR";"SUMUP";"471,92";"0,00";"471,92"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-04";"EUR";"CASH";"140,50";"0,00";"140,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-04";"EUR";"SUMUP";"733,50";"0,00";"733,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-05";"EUR";"CASH";"63,00";"0,00";"63,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-05";"EUR";"SUMUP";"434,94";"0,00";"434,94"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-06";"EUR";"CASH";"195,80";"0,00";"195,80"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-06";"EUR";"SUMUP";"539,22";"0,00";"539,22"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-07";"EUR";"CASH";"109,84";"0,00";"109,84"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-07";"EUR";"SUMUP";"276,04";"0,00";"276,04"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-08";"EUR";"CASH";"58,70";"0,00";"58,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-08";"EUR";"SUMUP";"273,85";"0,00";"273,85"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-09";"EUR";"CASH";"90,10";"-4,00";"86,10"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-09";"EUR";"SUMUP";"349,68";"0,00";"349,68"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-10";"EUR";"CASH";"151,90";"0,00";"151,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-10";"EUR";"SUMUP";"327,27";"0,00";"327,27"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-11";"EUR";"CASH";"164,50";"0,00";"164,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-11";"EUR";"SUMUP";"710,06";"0,00";"710,06"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-12";"EUR";"CASH";"198,86";"0,00";"198,86"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-12";"EUR";"SUMUP";"542,26";"0,00";"542,26"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-13";"EUR";"CASH";"82,75";"0,00";"82,75"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-13";"EUR";"SUMUP";"102,00";"0,00";"102,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-14";"EUR";"CASH";"76,60";"0,00";"76,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-14";"EUR";"SUMUP";"340,56";"0,00";"340,56"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-15";"EUR";"CASH";"125,95";"0,00";"125,95"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-15";"EUR";"SUMUP";"209,94";"0,00";"209,94"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-16";"EUR";"CASH";"158,10";"0,00";"158,10"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-16";"EUR";"SUMUP";"462,85";"-3,30";"459,55"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-17";"EUR";"CASH";"80,62";"0,00";"80,62"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-17";"EUR";"SUMUP";"378,81";"0,00";"378,81"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-18";"EUR";"CASH";"149,95";"0,00";"149,95"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-18";"EUR";"SUMUP";"681,75";"-7,60";"674,15"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-19";"EUR";"CASH";"222,40";"0,00";"222,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-19";"EUR";"SUMUP";"695,87";"0,00";"695,87"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-20";"EUR";"CASH";"106,00";"0,00";"106,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-20";"EUR";"SUMUP";"269,92";"0,00";"269,92"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-21";"EUR";"CASH";"91,20";"0,00";"91,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-21";"EUR";"SUMUP";"248,82";"0,00";"248,82"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-22";"EUR";"CASH";"106,10";"0,00";"106,10"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-22";"EUR";"SUMUP";"309,31";"0,00";"309,31"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-23";"EUR";"CASH";"86,40";"0,00";"86,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-23";"EUR";"SUMUP";"381,93";"0,00";"381,93"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-24";"EUR";"CASH";"207,85";"0,00";"207,85"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-24";"EUR";"SUMUP";"485,51";"0,00";"485,51"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-25";"EUR";"CASH";"152,87";"0,00";"152,87"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-25";"EUR";"SUMUP";"1034,84";"0,00";"1034,84"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-26";"EUR";"CASH";"465,70";"0,00";"465,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-26";"EUR";"SUMUP";"360,85";"0,00";"360,85"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-27";"EUR";"CASH";"118,98";"0,00";"118,98"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-27";"EUR";"SUMUP";"243,24";"0,00";"243,24"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-28";"EUR";"CASH";"158,40";"0,00";"158,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-28";"EUR";"SUMUP";"306,18";"0,00";"306,18"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-29";"EUR";"CASH";"98,20";"0,00";"98,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-29";"EUR";"SUMUP";"344,39";"0,00";"344,39"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-30";"EUR";"CASH";"113,72";"0,00";"113,72"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-30";"EUR";"SUMUP";"317,12";"0,00";"317,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-31";"EUR";"CASH";"139,40";"-8,00";"131,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-31";"EUR";"SUMUP";"499,76";"0,00";"499,76"
