"Datum geschlossen";"Geschäfts ID";"Geschäft";"Bestellnummer";"Bestellname";"Verkäufer";"Anmerkungen";"Produkt";"Artikelnummer";"Menge";"Währung";"Stückpreis inkl. MwSt"
"2025-07-01 15:07:38";"55978";"Suedseite - Bakery and Roastery";"1BAD3830-3EF9-415E-AC76-F13D12062FD5";"A54";"Vendeur";"Tippfehler";"Limonaden";"";"1";"EUR";"3,00"
"2025-07-03 08:48:37";"55978";"Suedseite - Bakery and Roastery";"95E386B2-5C62-4F6A-9DB0-8535149F22F9";"A1";"Vendeur";"Tippfehler";"Rustico";"";"1";"EUR";"6,20"
