"Datum geschlossen";"Geschäfts ID";"Geschäft";"Erstattungsnummer";"Bestellnummer";"Von Verkäufer eröffnet";"Anmerkungen";"Produkt";"Artikelnummer";"Menge";"Gutscheincode";"Währung";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"MwSt.-Betrag"
"2025-01-03 12:57:59";"55978";"Suedseite - Bakery and Roastery";"3D94D97E-5CC3-43EB-A875-91E80DFE669B";"7E1F3B58-F3D7-4555-AF46-B5FEEB9A68BC";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-2";"";"EUR";"-8,00";"-6,72";"-1,28"
"2025-01-12 14:21:19";"55978";"Suedseite - Bakery and Roastery";"91493904-85CE-44B1-AFF4-3ED80FE30D26";"485CF7AC-34D6-407C-86E0-898245D5DCCD";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-2";"";"EUR";"-8,00";"-6,72";"-1,28"
"2025-01-12 14:21:19";"55978";"Suedseite - Bakery and Roastery";"91493904-85CE-44B1-AFF4-3ED80FE30D26";"485CF7AC-34D6-407C-86E0-898245D5DCCD";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Sandwich";"";"-1";"";"EUR";"-6,00";"-5,61";"-0,39"
"2025-01-12 14:21:19";"55978";"Suedseite - Bakery and Roastery";"91493904-85CE-44B1-AFF4-3ED80FE30D26";"485CF7AC-34D6-407C-86E0-898245D5DCCD";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Croissant";"";"-1";"";"EUR";"-0,05";"-0,04";"-0,01"
"2025-01-12 14:46:48";"55978";"Suedseite - Bakery and Roastery";"513192B4-1F3C-4D30-B8C5-36829B3224F4";"9D43CAE3-EE97-4F8F-8B9E-A5715EA59F07";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-1";"";"EUR";"-4,00";"-3,36";"-0,64"
"2025-01-12 14:46:48";"55978";"Suedseite - Bakery and Roastery";"513192B4-1F3C-4D30-B8C5-36829B3224F4";"9D43CAE3-EE97-4F8F-8B9E-A5715EA59F07";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-1";"";"EUR";"-4,20";"-3,53";"-0,67"
"2025-01-13 13:43:57";"55978";"Suedseite - Bakery and Roastery";"38A2190C-978F-429E-9876-DAE086E73710";"E0DC73AB-5C41-49B4-A39C-6D1A652D4E3D";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Gutschein";"";"-1";"Hugo1";"EUR";"-1,00";"-1,00";"0,00"
"2025-01-18 15:30:33";"55978";"Suedseite - Bakery and Roastery";"F4DDDDB1-CB41-428C-87C5-6C1D6C5A2C93";"3565D2AB-C084-4DCB-9CDE-97BD8A4104FC";"Vendeur";"Vertippt";"Knotten";"";"-1";"";"EUR";"-3,30";"-3,08";"-0,22"
"2025-01-18 15:30:33";"55978";"Suedseite - Bakery and Roastery";"F4DDDDB1-CB41-428C-87C5-6C1D6C5A2C93";"3565D2AB-C084-4DCB-9CDE-97BD8A4104FC";"Vendeur";"Vertippt";"Tee";"";"-1";"";"EUR";"-4,20";"-3,53";"-0,67"
"2025-01-18 15:30:33";"55978";"Suedseite - Bakery and Roastery";"F4DDDDB1-CB41-428C-87C5-6C1D6C5A2C93";"3565D2AB-C084-4DCB-9CDE-97BD8A4104FC";"Vendeur";"Vertippt";"Kasten";"";"-1";"";"EUR";"-7,60";"-7,10";"-0,50"
"2025-01-22 10:56:29";"55978";"Suedseite - Bakery and Roastery";"96F30148-F724-446B-821C-4302973BE5A4";"1CB3B963-3EE8-4852-870A-804E06B7AF82";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Rustico";"";"-1";"";"EUR";"-6,20";"-5,79";"-0,41"
"2025-01-22 10:56:29";"55978";"Suedseite - Bakery and Roastery";"96F30148-F724-446B-821C-4302973BE5A4";"1CB3B963-3EE8-4852-870A-804E06B7AF82";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Fobatta";"";"-1";"";"EUR";"-2,80";"-2,62";"-0,18"
"2025-01-24 11:00:24";"55978";"Suedseite - Bakery and Roastery";"9E08010F-970E-4604-A396-1EAB620ED4B2";"3DEB3ACA-8643-4320-84E4-DF1BEAB730B7";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knotten";"";"-1";"";"EUR";"-6,60";"-6,17";"-0,43"
"2025-01-24 16:07:17";"55978";"Suedseite - Bakery and Roastery";"59B17A1D-D365-48B0-B6BB-5FD27510EDD9";"251D40EC-090B-42DC-8974-37582BD6CC13";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Varianten";"";"-1";"";"EUR";"-6,50";"-6,07";"-0,43"
"2025-01-25 11:35:02";"55978";"Suedseite - Bakery and Roastery";"8DF7479C-7C10-4FE6-9915-F521A57A8F92";"3F3C85FD-2DD3-4697-906A-46965179AD27";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Varianten";"";"-1";"";"EUR";"-6,50";"-6,07";"-0,43"
"2025-01-25 11:35:02";"55978";"Suedseite - Bakery and Roastery";"8DF7479C-7C10-4FE6-9915-F521A57A8F92";"3F3C85FD-2DD3-4697-906A-46965179AD27";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Americano";"";"-1";"";"EUR";"-3,70";"-3,11";"-0,59"
"2025-01-25 11:35:02";"55978";"Suedseite - Bakery and Roastery";"8DF7479C-7C10-4FE6-9915-F521A57A8F92";"3F3C85FD-2DD3-4697-906A-46965179AD27";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Americano";"";"-1";"";"EUR";"-3,70";"-3,11";"-0,59"
"2025-01-25 11:35:02";"55978";"Suedseite - Bakery and Roastery";"8DF7479C-7C10-4FE6-9915-F521A57A8F92";"3F3C85FD-2DD3-4697-906A-46965179AD27";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knotten";"";"-1";"";"EUR";"-3,30";"-3,08";"-0,22"
"2025-01-25 17:11:10";"55978";"Suedseite - Bakery and Roastery";"CD0714CA-38EF-48B6-9BDC-A9A9C94F2C23";"1879502A-A07C-4374-94B2-CEDFC91D5739";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knotten";"";"-1";"";"EUR";"-3,30";"-3,08";"-0,22"
"2025-01-26 15:12:41";"55978";"Suedseite - Bakery and Roastery";"C0398DD7-EDCF-4D9F-A202-8065D475853D";"B1CDDFE5-EE69-4C5C-849B-EF1705CDD200";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Schnecke";"";"-1";"";"EUR";"-3,50";"-3,27";"-0,23"
"2025-01-26 15:12:41";"55978";"Suedseite - Bakery and Roastery";"C0398DD7-EDCF-4D9F-A202-8065D475853D";"B1CDDFE5-EE69-4C5C-849B-EF1705CDD200";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Chai Latte";"";"-1";"";"EUR";"-4,60";"-3,87";"-0,73"
"2025-01-26 15:12:41";"55978";"Suedseite - Bakery and Roastery";"C0398DD7-EDCF-4D9F-A202-8065D475853D";"B1CDDFE5-EE69-4C5C-849B-EF1705CDD200";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"HOT choc";"";"-1";"";"EUR";"-4,10";"-3,45";"-0,65"
"2025-01-30 11:11:33";"55978";"Suedseite - Bakery and Roastery";"01CBE71B-9C6E-49F4-AC2F-D41D6FAE8D35";"BA3FF9F2-A27E-4095-BF21-914645273842";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knotten";"";"-1";"";"EUR";"-3,30";"-3,08";"-0,22"
"2025-01-30 12:29:57";"55978";"Suedseite - Bakery and Roastery";"2715E421-78B3-4C13-B978-BE9C08145694";"F77E6BF1-F024-40BB-9D23-7B6176E20188";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knotten";"";"-1";"";"EUR";"-3,30";"-3,08";"-0,22"
"2025-01-30 12:29:57";"55978";"Suedseite - Bakery and Roastery";"2715E421-78B3-4C13-B978-BE9C08145694";"F77E6BF1-F024-40BB-9D23-7B6176E20188";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knotten";"";"-1";"";"EUR";"-3,30";"-3,08";"-0,22"
"2025-01-30 12:29:57";"55978";"Suedseite - Bakery and Roastery";"2715E421-78B3-4C13-B978-BE9C08145694";"F77E6BF1-F024-40BB-9D23-7B6176E20188";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knotten";"";"-1";"";"EUR";"-3,50";"-3,27";"-0,23"
"2025-01-30 12:29:57";"55978";"Suedseite - Bakery and Roastery";"2715E421-78B3-4C13-B978-BE9C08145694";"F77E6BF1-F024-40BB-9D23-7B6176E20188";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-2";"";"EUR";"-8,00";"-6,72";"-1,28"
"2025-01-30 12:29:57";"55978";"Suedseite - Bakery and Roastery";"2715E421-78B3-4C13-B978-BE9C08145694";"F77E6BF1-F024-40BB-9D23-7B6176E20188";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-1";"";"EUR";"-4,20";"-3,53";"-0,67"
"2025-02-04 10:22:33";"55978";"Suedseite - Bakery and Roastery";"D09962DF-3436-4AC0-B38A-B78955EF994C";"7B5D673D-EB4F-4AB2-A82B-DC752C1BE0B7";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-2";"";"EUR";"-8,00";"-6,72";"-1,28"
"2025-02-06 16:35:54";"55978";"Suedseite - Bakery and Roastery";"175BAA2C-5B34-4A6B-A4B1-DEECC99C3240";"942112A2-B526-4543-AF0E-4E5C586C5BE9";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"No Caf — Yenni Esperanza 250g";"";"-1";"";"EUR";"-11,92";"-11,14";"-0,78"
"2025-02-16 14:09:33";"55978";"Suedseite - Bakery and Roastery";"12D33281-8B03-4DA1-9B62-BB35410181AE";"B1005E38-780C-4EA3-B982-5573C3C871AB";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Sandwich";"";"-1";"";"EUR";"-12,00";"-11,21";"-0,79"
"2025-02-16 14:09:33";"55978";"Suedseite - Bakery and Roastery";"12D33281-8B03-4DA1-9B62-BB35410181AE";"B1005E38-780C-4EA3-B982-5573C3C871AB";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Limonaden";"";"-1";"";"EUR";"-3,00";"-2,52";"-0,48"
"2025-02-16 14:09:33";"55978";"Suedseite - Bakery and Roastery";"12D33281-8B03-4DA1-9B62-BB35410181AE";"B1005E38-780C-4EA3-B982-5573C3C871AB";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Rustico";"";"-1";"";"EUR";"-6,20";"-5,79";"-0,41"
"2025-02-16 14:09:33";"55978";"Suedseite - Bakery and Roastery";"12D33281-8B03-4DA1-9B62-BB35410181AE";"B1005E38-780C-4EA3-B982-5573C3C871AB";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Rustico";"";"-1";"";"EUR";"-6,20";"-5,79";"-0,41"
"2025-02-16 16:08:30";"55978";"Suedseite - Bakery and Roastery";"24B07068-B6A3-4385-B1DE-C5E0A427CA67";"58903B42-8026-47DA-9373-F14F189B7426";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-2";"";"EUR";"-8,00";"-6,72";"-1,28"
"2025-02-23 13:31:16";"55978";"Suedseite - Bakery and Roastery";"0EFEB247-694F-49AF-AF67-E22590BE6F24";"05AFA603-194A-49E1-8BC9-5389751B0683";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knotten";"";"-1";"";"EUR";"-6,60";"-6,17";"-0,43"
"2025-03-01 14:10:54";"55978";"Suedseite - Bakery and Roastery";"FF30CE39-4514-456F-96CA-643372E891A4";"C2269874-42DB-4032-88CB-E001B87030EE";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Matcha";"";"-1";"";"EUR";"-4,90";"-4,12";"-0,78"
"2025-03-01 14:10:54";"55978";"Suedseite - Bakery and Roastery";"FF30CE39-4514-456F-96CA-643372E891A4";"C2269874-42DB-4032-88CB-E001B87030EE";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knotten";"";"-1";"";"EUR";"-3,30";"-3,08";"-0,22"
"2025-03-02 11:37:25";"55978";"Suedseite - Bakery and Roastery";"3DD9434F-DD1C-4927-BD5C-9B7E3221F79D";"1166216F-0475-4D11-B36E-BE19351420AF";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Dirty Chai";"";"-1";"";"EUR";"-5,60";"-4,71";"-0,89"
"2025-03-02 11:37:25";"55978";"Suedseite - Bakery and Roastery";"3DD9434F-DD1C-4927-BD5C-9B7E3221F79D";"1166216F-0475-4D11-B36E-BE19351420AF";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Sandwich";"";"-1";"";"EUR";"-6,00";"-5,61";"-0,39"
"2025-03-02 11:37:25";"55978";"Suedseite - Bakery and Roastery";"3DD9434F-DD1C-4927-BD5C-9B7E3221F79D";"1166216F-0475-4D11-B36E-BE19351420AF";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Schnecke";"";"-1";"";"EUR";"-3,50";"-3,27";"-0,23"
"2025-03-02 11:37:25";"55978";"Suedseite - Bakery and Roastery";"3DD9434F-DD1C-4927-BD5C-9B7E3221F79D";"1166216F-0475-4D11-B36E-BE19351420AF";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Sandwich";"";"-1";"";"EUR";"-6,00";"-5,61";"-0,39"
