"Geschäft";"Geschäfts ID";"Eröffnungsdatum";"Datum geschlossen";"Bestellnummer";"Währung";"Produkt";"Artikelnummer";"Menge";"Gutscheincode";"Stückpreis inkl. MwSt";"Rabatt";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"MwSt.-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01 09:37:22";"2025-05-01 09:37:33";"7CDF0EFA-E26C-4D94-91E4-0C8010B63065";"EUR";"Knoten";"";"1";"";"3,30";"0,00";"3,30";"3,08";"0,22"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01 09:37:22";"2025-05-01 09:37:33";"7CDF0EFA-E26C-4D94-91E4-0C8010B63065";"EUR";"Varianten";"";"1";"";"6,50";"0,00";"6,50";"6,07";"0,43"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01 09:38:02";"2025-05-01 09:41:55";"CABC8264-522C-4483-8A4B-DB47E85EB873";"EUR";"HOT choc";"";"1";"";"4,10";"0,00";"4,10";"3,45";"0,65"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01 09:38:02";"2025-05-01 09:41:55";"CABC8264-522C-4483-8A4B-DB47E85EB873";"EUR";"Sandwich";"";"1";"";"6,00";"0,00";"6,00";"5,61";"0,39"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01 09:41:58";"2025-05-01 09:43:34";"B285D0E3-A788-4142-B8A1-0C8A06609693";"EUR";"Classico";"";"1";"";"5,00";"0,00";"5,00";"4,67";"0,33"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01 09:43:50";"2025-05-01 09:46:43";"F83CDC30-56C6-4E4E-8C1D-C18DA6538EB3";"EUR";"Classico";"";"1";"";"7,40";"0,00";"7,40";"6,92";"0,48"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01 09:43:50";"2025-05-01 09:46:43";"F83CDC30-56C6-4E4E-8C1D-C18DA6538EB3";"EUR";"Knoten";"";"2";"";"3,30";"0,00";"6,60";"6,17";"0,43"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01 09:47:13";"2025-05-01 09:47:15";"2BF61854-88A7-463E-BC6D-13FCF67FDAD8";"EUR";"Rustico";"";"1";"";"6,20";"0,00";"6,20";"5,79";"0,41"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01 09:54:43";"2025-05-01 09:55:58";"8744E1D6-7145-4638-B15F-3BD46A8AA1E3";"EUR";"Brötchen";"";"2";"";"1,50";"0,00";"3,00";"2,80";"0,20"
"Suedseite - Bakery and Roastery";"55978";"2025-05-01 09:54:43";"2025-05-01 09:55:58";"8744E1D6-7145-4638-B15F-3BD46A8AA1E3";"EUR";"Kasten";"";"1";"";"7,20";"0,00";"7,20";"6,73";"0,47"
