"Geschäft";"Geschäfts ID";"Datum";"Währung";"MwSt";"Umsatz ohne Steuer";"Umsatz inkl. Steuer";"Rückerstattet (ohne Steuer)";"Rückerstattet ( inkl. Steuer)";"MwSt-Betrag"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01";"EUR";"0,00";"13,00";"13,00";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01";"EUR";"0,07";"485,14";"519,16";"0,00";"0,00";"34,02"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-01";"EUR";"0,19";"36,04";"42,90";"0,00";"0,00";"6,86"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-02";"EUR";"0,00";"41,80";"41,80";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-02";"EUR";"0,07";"471,68";"504,83";"0,00";"0,00";"33,15"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-02";"EUR";"0,19";"114,60";"136,40";"0,00";"0,00";"21,80"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"0,00";"70,80";"70,80";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"0,07";"629,99";"674,15";"0,00";"0,00";"44,16"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"0,19";"100,72";"119,89";"0,00";"0,00";"19,17"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"0,00";"82,80";"82,80";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"0,07";"744,65";"796,92";"0,00";"0,00";"52,27"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"0,19";"86,74";"103,24";"0,00";"0,00";"16,50"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-05";"EUR";"0,00";"75,70";"75,70";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-05";"EUR";"0,07";"891,28";"953,77";"0,00";"0,00";"62,49"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-05";"EUR";"0,19";"482,00";"573,71";"0,00";"0,00";"91,71"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-06";"EUR";"0,00";"38,30";"38,30";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-06";"EUR";"0,07";"1104,98";"1182,50";"0,00";"0,00";"77,52"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-06";"EUR";"0,19";"195,35";"232,55";"0,00";"0,00";"37,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-07";"EUR";"0,00";"55,00";"55,00";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-07";"EUR";"0,07";"587,80";"629,05";"0,00";"0,00";"41,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-07";"EUR";"0,19";"79,47";"94,59";"0,00";"0,00";"15,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-08";"EUR";"0,00";"36,40";"36,40";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-08";"EUR";"0,07";"491,20";"525,63";"0,00";"0,00";"34,43"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-08";"EUR";"0,19";"83,92";"99,90";"0,00";"0,00";"15,98"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-09";"EUR";"0,00";"22,24";"22,24";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-09";"EUR";"0,07";"463,19";"495,75";"0,00";"0,00";"32,56"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-09";"EUR";"0,19";"113,59";"135,20";"0,00";"0,00";"21,61"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-10";"EUR";"0,00";"17,80";"17,80";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-10";"EUR";"0,07";"464,70";"497,34";"0,00";"0,00";"32,64"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-10";"EUR";"0,19";"70,39";"83,80";"0,00";"0,00";"13,41"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-11";"EUR";"0,00";"23,90";"23,90";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-11";"EUR";"0,07";"761,68";"815,17";"0,00";"0,00";"53,49"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-11";"EUR";"0,19";"169,23";"201,44";"0,00";"0,00";"32,21"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-12";"EUR";"0,00";"252,90";"252,90";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-12";"EUR";"0,07";"1048,53";"1122,07";"0,00";"0,00";"73,54"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-12";"EUR";"0,19";"185,25";"220,50";"0,00";"0,00";"35,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-13";"EUR";"0,00";"38,40";"38,40";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-13";"EUR";"0,07";"683,43";"731,33";"20,70";"22,15";"46,45"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-13";"EUR";"0,19";"154,06";"183,40";"0,00";"0,00";"29,34"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-14";"EUR";"0,00";"104,70";"104,70";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-14";"EUR";"0,07";"472,62";"505,74";"0,00";"0,00";"33,12"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-14";"EUR";"0,19";"196,68";"234,10";"0,00";"0,00";"37,42"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-15";"EUR";"0,00";"44,60";"44,60";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-15";"EUR";"0,07";"468,43";"501,23";"0,00";"0,00";"32,80"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-15";"EUR";"0,19";"86,21";"102,60";"0,00";"0,00";"16,39"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-16";"EUR";"0,00";"32,90";"32,90";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-16";"EUR";"0,07";"529,59";"566,80";"0,00";"0,00";"37,21"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-16";"EUR";"0,19";"140,79";"167,59";"0,00";"0,00";"26,80"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-17";"EUR";"0,00";"14,20";"14,20";"0,00";"0,00";"0,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-17";"EUR";"0,07";"490,99";"525,44";"0,00";"0,00";"34,45"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-17";"EUR";"0,19";"70,02";"83,35";"0,00";"0,00";"13,33"
