"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Trinkgeld-Betrag"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"2,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,13"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"2,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"0,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"2,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"0,30"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,79"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,48"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"2,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,02"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"0,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-03";"EUR";"SUMUP";"1,38"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"2,74"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"2,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"2,70"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,34"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"0,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"2,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,15"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,08"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"1,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"5,94"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"0,20"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-04";"EUR";"SUMUP";"2,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-04-05";"EUR";"SUMUP";"0,40"
