"Geschäft";"Geschäfts ID";"Datum";"Währung";"Herkunft";"Ziel";"Betrag Zahlungsart Überweisungen"
"Suedseite - Bakery and Roastery";"55978";"2025-03-03";"EUR";"CASH";"CREDIT_NOTE";"20"
"Suedseite - Bakery and Roastery";"55978";"2025-03-03";"EUR";"CREDIT_NOTE";"CASH";"20"
