"Geschäft";"Geschäfts ID";"Datum";"Währung";"MwSt";"Umsatz ohne Steuer";"Umsatz inkl. Steuer";"Rückerstattet (ohne Steuer)";"Rückerstattet ( inkl. Steuer)";"MwSt-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01";"EUR";"0,00";"13,80";"13,80";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01";"EUR";"0,07";"949,26";"1015,96";"3,08";"3,30";"66,48"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01";"EUR";"0,19";"331,58";"394,58";"4,12";"4,90";"62,22"
"Suedseite - Bakery and Roastery";"55978";"2025-03-02";"EUR";"0,00";"-3,80";"-3,80";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-02";"EUR";"0,07";"887,64";"949,88";"14,49";"15,50";"61,23"
"Suedseite - Bakery and Roastery";"55978";"2025-03-02";"EUR";"0,19";"384,48";"457,50";"7,82";"9,30";"71,54"
"Suedseite - Bakery and Roastery";"55978";"2025-03-03";"EUR";"0,19";"1,19";"1,40";"1,19";"1,40";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-04";"EUR";"0,00";"65,00";"65,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-04";"EUR";"0,07";"576,70";"617,30";"7,47";"8,00";"40,07"
"Suedseite - Bakery and Roastery";"55978";"2025-03-04";"EUR";"0,19";"167,61";"199,50";"6,72";"8,00";"30,61"
"Suedseite - Bakery and Roastery";"55978";"2025-03-05";"EUR";"0,00";"28,50";"28,50";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-05";"EUR";"0,07";"730,26";"781,60";"11,21";"12,00";"50,55"
"Suedseite - Bakery and Roastery";"55978";"2025-03-05";"EUR";"0,19";"270,91";"322,40";"6,64";"7,90";"50,23"
"Suedseite - Bakery and Roastery";"55978";"2025-03-06";"EUR";"0,07";"354,69";"379,60";"6,07";"6,50";"24,48"
"Suedseite - Bakery and Roastery";"55978";"2025-03-06";"EUR";"0,19";"166,70";"198,40";"0,00";"0,00";"31,70"
"Suedseite - Bakery and Roastery";"55978";"2025-03-07";"EUR";"0,07";"558,64";"597,91";"0,00";"0,00";"39,27"
"Suedseite - Bakery and Roastery";"55978";"2025-03-07";"EUR";"0,19";"196,84";"234,23";"0,00";"0,00";"37,39"
"Suedseite - Bakery and Roastery";"55978";"2025-03-08";"EUR";"0,00";"-3,30";"-3,30";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-08";"EUR";"0,07";"1038,79";"1111,76";"0,00";"0,00";"72,97"
"Suedseite - Bakery and Roastery";"55978";"2025-03-08";"EUR";"0,19";"390,26";"464,37";"0,00";"0,00";"74,11"
"Suedseite - Bakery and Roastery";"55978";"2025-03-09";"EUR";"0,00";"-30,10";"-30,10";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-09";"EUR";"0,07";"977,00";"1045,68";"9,43";"10,10";"68,01"
"Suedseite - Bakery and Roastery";"55978";"2025-03-09";"EUR";"0,19";"574,08";"683,20";"9,66";"11,50";"107,28"
"Suedseite - Bakery and Roastery";"55978";"2025-03-11";"EUR";"0,00";"-10,00";"-10,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-11";"EUR";"0,07";"564,91";"604,70";"0,00";"0,00";"39,79"
"Suedseite - Bakery and Roastery";"55978";"2025-03-11";"EUR";"0,19";"132,27";"157,40";"0,00";"0,00";"25,13"
"Suedseite - Bakery and Roastery";"55978";"2025-03-12";"EUR";"0,07";"503,00";"538,32";"0,00";"0,00";"35,32"
"Suedseite - Bakery and Roastery";"55978";"2025-03-12";"EUR";"0,19";"157,33";"187,20";"0,00";"0,00";"29,87"
"Suedseite - Bakery and Roastery";"55978";"2025-03-13";"EUR";"0,07";"613,62";"656,75";"0,00";"0,00";"43,13"
"Suedseite - Bakery and Roastery";"55978";"2025-03-13";"EUR";"0,19";"210,48";"250,50";"0,00";"0,00";"40,02"
"Suedseite - Bakery and Roastery";"55978";"2025-03-14";"EUR";"0,07";"705,08";"754,53";"0,00";"0,00";"49,45"
"Suedseite - Bakery and Roastery";"55978";"2025-03-14";"EUR";"0,19";"177,91";"211,70";"0,00";"0,00";"33,79"
"Suedseite - Bakery and Roastery";"55978";"2025-03-15";"EUR";"0,00";"15,00";"15,00";"0,00";"0,00";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-15";"EUR";"0,07";"1052,56";"1126,54";"0,00";"0,00";"73,98"
