"Geschäft";"Geschäfts ID";"Datum und Uhrzeit";"Belegnummer";"Grund";"Buchungstext";"Währung";"Einnahmen";"Ausgaben";"Mehrwertsteuersatz";"Betrag MwSt";"Kassenbestand"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03 11:37:13";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-1982";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"154,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03 11:50:54";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-1983";"Sonstige Einnahme";"";"EUR";"12,00";"";"0,00";"0,00";"166,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03 12:06:28";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-1984";"Sonstige Einnahme";"";"EUR";"8,90";"";"0,00";"0,00";"175,80"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03 12:27:39";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-1985";"Sonstige Einnahme";"";"EUR";"7,60";"";"0,00";"0,00";"183,40"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03 12:35:01";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-1986";"Sonstige Einnahme";"";"EUR";"8,20";"";"0,00";"0,00";"191,60"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03 12:45:02";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-1987";"Sonstige Einnahme";"";"EUR";"15,40";"";"0,00";"0,00";"207,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03 12:47:32";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-1988";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"211,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03 12:54:18";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-1989";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"215,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03 13:31:16";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-1990";"Sonstige Einnahme";"";"EUR";"3,80";"";"0,00";"0,00";"218,80"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-01-03 13:34:37";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-1991";"Sonstige Einnahme";"";"EUR";"3,50";"";"0,00";"0,00";"222,30"
