"Geschäft";"Geschäfts ID";"Eröffnungsdatum";"Datum geschlossen";"Bestellnummer";"Währung";"Zahlungsart";"Betrag Trinkgeld"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:27:36";"2025-04-01 10:48:02";"9F6805A5-F9DA-4C6A-AEEA-2A179E700F42";"EUR";"SumUp";"1,09"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:00:35";"2025-04-01 10:55:15";"54FC9305-523C-40CB-8E11-543C6791F1E0";"EUR";"SumUp";"5,01"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:16:02";"2025-04-01 11:33:23";"04E728C5-1CEC-4234-808D-CBEEE58E3578";"EUR";"SumUp";"3,30"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 12:21:10";"2025-04-01 12:26:24";"8551B232-43B2-4F7E-852C-908228B6D243";"EUR";"SumUp";"1,50"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 10:57:57";"2025-04-01 13:00:09";"7E744FFE-A6CB-4DA6-96A4-EC6FA9636362";"EUR";"SumUp";"1,96"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 13:11:31";"2025-04-01 13:14:04";"F13D7EF9-D6AD-4E73-96CA-823BA874B38B";"EUR";"SumUp";"1,54"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 13:14:12";"2025-04-01 13:15:33";"E52E3E31-04EC-4C5A-A134-535C5F98A94C";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 13:29:40";"2025-04-01 13:30:21";"59245532-CDF9-4D58-B4A2-052AFB449FE5";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 13:30:24";"2025-04-01 13:40:04";"236D47E8-950B-41B4-B7B4-84D070E5E0C6";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 13:01:55";"2025-04-01 13:42:44";"15356274-D44B-4515-8DA7-5C2549259CBA";"EUR";"SumUp";"2,14"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 14:07:10";"2025-04-01 14:11:21";"404CCF75-79D4-45B9-A495-CF22CCCB3E77";"EUR";"SumUp";"1,72"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 14:26:36";"2025-04-01 14:36:21";"BD3FE61E-C783-4612-9864-4A0714D3C64A";"EUR";"SumUp";"1,57"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 14:21:00";"2025-04-01 14:42:51";"4DA93B8D-5293-4660-8570-0E27FE78DE44";"EUR";"SumUp";"0,50"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 15:31:34";"2025-04-01 15:42:36";"34F3D53D-85A9-4426-A8F3-A8F65B16ED54";"EUR";"SumUp";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 15:42:43";"2025-04-01 15:48:10";"DCBF89C6-7CD0-48F6-98E8-BA3797F06310";"EUR";"SumUp";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 16:09:07";"2025-04-01 16:10:12";"BFCC377A-65F1-447E-A0D3-258B04E08F28";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 16:10:22";"2025-04-01 16:16:03";"C0217889-0E82-4940-B22A-A21891F9D7CC";"EUR";"SumUp";"1,24"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 16:39:47";"2025-04-01 16:40:34";"9E0019D5-2E1D-479F-AEA9-7E1BBDB8A962";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-01 16:01:25";"2025-04-01 17:08:36";"F6C78F55-0B1B-4AAF-996A-59535507E1AB";"EUR";"SumUp";"2,32"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 10:48:09";"2025-04-02 10:48:50";"66FB3196-6A75-4FF1-BD5B-32BCD7CDD76A";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 10:31:57";"2025-04-02 11:19:33";"042170BC-4D59-4E85-9A31-471732F08083";"EUR";"SumUp";"3,15"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 11:19:45";"2025-04-02 11:21:06";"6A27DEE6-2F2C-4511-91B9-88DDF8397F0C";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 11:21:33";"2025-04-02 11:23:12";"8CF5F26E-EDE4-4DA7-8843-787B11BAFAF8";"EUR";"SumUp";"3,45"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 10:43:35";"2025-04-02 11:32:15";"3A73D5E5-5392-4877-843B-B1CED51786BF";"EUR";"Barzahlung";"0,60"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 12:26:58";"2025-04-02 12:27:56";"7CB31296-F47B-40D3-8782-4E5414D9370B";"EUR";"SumUp";"1,90"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 12:41:12";"2025-04-02 12:57:54";"644AE711-6B6B-4052-9945-86E09D7A24BD";"EUR";"SumUp";"1,30"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 13:14:55";"2025-04-02 13:20:07";"507239FD-D284-4AC3-A76F-1FF2DB80CC8D";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 14:07:45";"2025-04-02 14:09:30";"FD5CF5CE-10AD-4F75-A31E-E44A083D4A06";"EUR";"SumUp";"3,33"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 15:28:32";"2025-04-02 15:31:49";"B05177B1-A770-435A-8F16-FCB51F4DEE39";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 15:37:50";"2025-04-02 15:39:21";"0C657E23-6505-4D30-A5EB-12241D4FED84";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 15:44:49";"2025-04-02 15:46:06";"3111A9FB-2257-409E-878E-8D9A672AD122";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 15:51:23";"2025-04-02 15:52:51";"3B942600-0147-4B02-BCBF-732630CBB05C";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 16:37:11";"2025-04-02 16:41:46";"F428F002-B06D-47F0-AEF6-1DC19BAE127E";"EUR";"SumUp";"0,80"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 16:47:05";"2025-04-02 16:48:02";"A63A38D5-72D1-4F5B-9ACA-1626B8ADFEE2";"EUR";"SumUp";"1,30"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 17:20:17";"2025-04-02 17:21:16";"2D764C4E-7BDE-47AA-A253-A182238228C6";"EUR";"SumUp";"3,50"
"Suedseite - Bakery and Roastery";"55978";"2025-04-02 17:25:11";"2025-04-02 17:28:49";"9D15034A-44DA-4A89-AB32-4C10C37E4B13";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-03 10:16:15";"2025-04-03 10:17:58";"16DFD723-EBF6-4B1B-B8F7-48C8B93988E5";"EUR";"SumUp";"2,99"
"Suedseite - Bakery and Roastery";"55978";"2025-04-03 11:56:17";"2025-04-03 11:57:19";"EFDEAE27-5D1F-49B2-AB84-9CCD75BEA20E";"EUR";"SumUp";"1,85"
"Suedseite - Bakery and Roastery";"55978";"2025-04-03 11:58:24";"2025-04-03 12:04:41";"BDD713ED-7950-4759-A52E-D0450AA25023";"EUR";"SumUp";"1,76"
"Suedseite - Bakery and Roastery";"55978";"2025-04-03 10:13:27";"2025-04-03 12:35:46";"3A7E8446-D266-4700-842E-65F01B911E8C";"EUR";"Barzahlung";"3,40"
"Suedseite - Bakery and Roastery";"55978";"2025-04-03 13:08:57";"2025-04-03 13:09:50";"FFEB73D2-B2A4-41F1-BC21-83A47943F47D";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-03 13:10:01";"2025-04-03 13:10:39";"61E2C4BC-C66A-4D0B-981E-2EFE2589A404";"EUR";"SumUp";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-04-03 13:13:52";"2025-04-03 13:15:15";"3A92D896-484B-4F0C-AC68-912570076FBA";"EUR";"SumUp";"1,64"
