"Datum geschlossen";"Geschäfts ID";"Geschäft";"Erstattungsnummer";"Bestellnummer";"Von Verkäufer eröffnet";"Anmerkungen";"Produkt";"Artikelnummer";"Menge";"Gutscheincode";"Währung";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"MwSt.-Betrag"
"2025-06-08 14:47:44";"56297";"Suedseite - Coffee Roasters & Bakery";"D49C1BEC-B1D5-48E2-9F5E-E90A6DE27DA2";"6C1E6207-D79B-4C91-B85B-3F4939BBD97F";"Vendeur";"Returned item";"Extra Shot";"";"-1";"";"EUR";"-1,50";"-1,40";"-0,10"
"2025-06-09 13:21:42";"56297";"Suedseite - Coffee Roasters & Bakery";"03A49471-AB54-45E6-9534-A12D19EEAACB";"951AD2B5-7803-40FC-A06E-B2EDB391FAD5";"Vendeur";"I made a mistake and want to cancel the order";"Knoten";"";"-1";"";"EUR";"-3,30";"-3,08";"-0,22"
"2025-06-09 13:21:42";"56297";"Suedseite - Coffee Roasters & Bakery";"03A49471-AB54-45E6-9534-A12D19EEAACB";"951AD2B5-7803-40FC-A06E-B2EDB391FAD5";"Vendeur";"I made a mistake and want to cancel the order";"Flat White";"";"-1";"";"EUR";"-4,00";"-3,74";"-0,26"
"2025-06-19 14:54:27";"56297";"Suedseite - Coffee Roasters & Bakery";"A21D7BB9-6842-40B4-BF0B-F7A669499417";"F95C96F4-1B47-4114-AA46-98F02AD12C66";"Vendeur";"I made a mistake and want to cancel the order";"Pizza";"";"-1";"";"EUR";"-3,90";"-3,64";"-0,26"
"2025-06-19 14:54:27";"56297";"Suedseite - Coffee Roasters & Bakery";"A21D7BB9-6842-40B4-BF0B-F7A669499417";"F95C96F4-1B47-4114-AA46-98F02AD12C66";"Vendeur";"I made a mistake and want to cancel the order";"Iced Latte";"";"-1";"";"EUR";"-4,60";"-4,30";"-0,30"
"2025-06-27 14:15:34";"56297";"Suedseite - Coffee Roasters & Bakery";"9611779B-72B1-4311-90F5-1D774AF565AF";"7416C78D-72DC-4900-A430-B69918109400";"Vendeur";"I made a mistake and want to cancel the order";"Cortado";"";"-1";"";"EUR";"-3,80";"-3,55";"-0,25"
"2025-06-27 16:45:29";"56297";"Suedseite - Coffee Roasters & Bakery";"96F94313-2F69-484A-8A58-1214D3ACEB62";"DD9395B3-9F4A-497A-A15F-0791D4EB6A74";"Vendeur";"I made a mistake and want to cancel the order";"Iced Matcha";"";"-1";"";"EUR";"-5,10";"-5,10";"0,00"
"2025-06-27 16:45:29";"56297";"Suedseite - Coffee Roasters & Bakery";"96F94313-2F69-484A-8A58-1214D3ACEB62";"DD9395B3-9F4A-497A-A15F-0791D4EB6A74";"Vendeur";"I made a mistake and want to cancel the order";"Chai";"";"-1";"";"EUR";"-4,60";"-4,30";"-0,30"
"2025-06-29 15:41:11";"56297";"Suedseite - Coffee Roasters & Bakery";"52443900-BD81-499A-912D-24CDD1E10A8F";"DAC7FD26-FB67-485B-B180-2BE995FCE2C4";"Vendeur";"I made a mistake and want to cancel the order";"Espresso Tonic Orange";"";"-1";"";"EUR";"-5,40";"-5,05";"-0,35"
"2025-06-29 15:41:11";"56297";"Suedseite - Coffee Roasters & Bakery";"52443900-BD81-499A-912D-24CDD1E10A8F";"DAC7FD26-FB67-485B-B180-2BE995FCE2C4";"Vendeur";"I made a mistake and want to cancel the order";"Espresso Tonic";"";"-1";"";"EUR";"-5,10";"-4,77";"-0,33"
"2025-06-29 15:41:11";"56297";"Suedseite - Coffee Roasters & Bakery";"52443900-BD81-499A-912D-24CDD1E10A8F";"DAC7FD26-FB67-485B-B180-2BE995FCE2C4";"Vendeur";"I made a mistake and want to cancel the order";"Espresso";"";"-1";"";"EUR";"-3,50";"-2,94";"-0,56"
