"Datum geschlossen";"Geschäfts ID";"Geschäft";"Erstattungsnummer";"Bestellnummer";"Von Verkäufer eröffnet";"Anmerkungen";"Produkt";"Artikelnummer";"Menge";"Gutscheincode";"Währung";"Umsatz inkl. Steuer";"Umsatz ohne Steuer";"MwSt.-Betrag"
"2025-06-04 12:29:08";"55978";"Suedseite - Bakery and Roastery";"AD39BDAD-6C39-49A3-AB50-BD9DA0096CD0";"44051C0C-D3EC-45A3-852E-878B426C2D89";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Sandwich";"";"-1";"";"EUR";"-6,00";"-5,61";"-0,39"
"2025-06-04 12:29:08";"55978";"Suedseite - Bakery and Roastery";"AD39BDAD-6C39-49A3-AB50-BD9DA0096CD0";"44051C0C-D3EC-45A3-852E-878B426C2D89";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-1";"";"EUR";"-4,00";"-3,36";"-0,64"
"2025-06-07 15:31:42";"55978";"Suedseite - Bakery and Roastery";"B9203DD1-F33F-4732-96FC-C9332FADF930";"674BC740-08F2-44EF-83E0-8762D32371CD";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-1";"";"EUR";"-4,00";"-3,36";"-0,64"
"2025-06-07 15:31:42";"55978";"Suedseite - Bakery and Roastery";"B9203DD1-F33F-4732-96FC-C9332FADF930";"674BC740-08F2-44EF-83E0-8762D32371CD";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knoten";"";"-1";"";"EUR";"-3,30";"-3,08";"-0,22"
"2025-06-07 15:31:42";"55978";"Suedseite - Bakery and Roastery";"B9203DD1-F33F-4732-96FC-C9332FADF930";"674BC740-08F2-44EF-83E0-8762D32371CD";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-1";"";"EUR";"-4,20";"-3,53";"-0,67"
"2025-06-08 12:44:24";"55978";"Suedseite - Bakery and Roastery";"D0C029DE-8C0F-4BB6-885E-52E7F7492BAC";"7ED742AC-5F7B-4F4E-A17B-E9CB34CCFE8B";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Knoten";"";"-2";"";"EUR";"-6,60";"-6,17";"-0,43"
"2025-06-08 12:44:24";"55978";"Suedseite - Bakery and Roastery";"D0C029DE-8C0F-4BB6-885E-52E7F7492BAC";"7ED742AC-5F7B-4F4E-A17B-E9CB34CCFE8B";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Buchtel";"";"-1";"";"EUR";"-3,50";"-3,27";"-0,23"
"2025-06-10 16:53:31";"55978";"Suedseite - Bakery and Roastery";"6A187576-6328-4C6A-A0B8-D3E3D3F1B486";"DB603428-DF58-4695-98A4-B474C1B8D3D0";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Schnecke";"";"-2";"";"EUR";"-7,00";"-6,54";"-0,46"
"2025-06-10 16:53:31";"55978";"Suedseite - Bakery and Roastery";"6A187576-6328-4C6A-A0B8-D3E3D3F1B486";"DB603428-DF58-4695-98A4-B474C1B8D3D0";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-1";"";"EUR";"-4,00";"-3,36";"-0,64"
"2025-06-10 16:53:31";"55978";"Suedseite - Bakery and Roastery";"6A187576-6328-4C6A-A0B8-D3E3D3F1B486";"DB603428-DF58-4695-98A4-B474C1B8D3D0";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Kasten";"";"-1";"";"EUR";"-7,60";"-7,10";"-0,50"
"2025-06-24 13:11:24";"55978";"Suedseite - Bakery and Roastery";"FCD39C77-BB47-45EC-AFD8-F7A2AF5820AC";"00F26425-9752-4328-8842-DC0E443E82B5";"Vendeur";"Ich habe einen Fehler gemacht und möchte die Bestellung stornieren";"Flatwhite";"";"-1";"";"EUR";"-4,00";"-3,36";"-0,64"
